system_module,applicable_page,interface_id,interface_name,document_path,business_use,priority,phase_one_recommended,api_path,http_method,review_status,notes
销售,销售与订单页,LX-03449E2EC06C,查询商品折扣详情-列表-优惠卷,/docs/Sale/promotionListingDetailCoupon.md,查询商品折扣详情-列表-优惠卷,P0,是,/basicOpen/promotion/listingDetailCoupon,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
运营,运营分析页,LX-03449E2EC06C,查询商品折扣详情-列表-优惠卷,/docs/Sale/promotionListingDetailCoupon.md,查询商品折扣详情-列表-优惠卷,P0,是,/basicOpen/promotion/listingDetailCoupon,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-020A91A14B42,查询商品折扣详情-列表-管理促销,/docs/Sale/promotionListingDetailManage.md,查询商品折扣详情-列表-管理促销,P0,是,/basicOpen/promotion/listingDetailManage,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
运营,运营分析页,LX-020A91A14B42,查询商品折扣详情-列表-管理促销,/docs/Sale/promotionListingDetailManage.md,查询商品折扣详情-列表-管理促销,P0,是,/basicOpen/promotion/listingDetailManage,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-FE476B81237F,查询商品折扣详情-列表-会员折扣,/docs/Sale/promotionListingDetailPrimeDiscount.md,查询商品折扣详情-列表-会员折扣,P0,是,/basicOpen/promotion/listingDetailPrimeDiscount,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
运营,运营分析页,LX-FE476B81237F,查询商品折扣详情-列表-会员折扣,/docs/Sale/promotionListingDetailPrimeDiscount.md,查询商品折扣详情-列表-会员折扣,P0,是,/basicOpen/promotion/listingDetailPrimeDiscount,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-A404B2104669,查询商品折扣详情-列表-秒杀,/docs/Sale/promotionListingDetailSecKill.md,查询商品折扣详情-列表-秒杀,P0,是,/basicOpen/promotion/listingDetailSecKill,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
运营,运营分析页,LX-A404B2104669,查询商品折扣详情-列表-秒杀,/docs/Sale/promotionListingDetailSecKill.md,查询商品折扣详情-列表-秒杀,P0,是,/basicOpen/promotion/listingDetailSecKill,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-44D4A6C312C6,获取UPC编码列表,/docs/Product/UpcList.md,获取UPC编码列表,P0,是,/listing/publish/api/upc/upcList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-3F1F087FF8A1,查询本地产品列表,/docs/Product/ProductLists.md,支持查询产品列表，对应系统【产品】>【产品管理】数据,P0,是,/erp/sc/routing/data/local_inventory/productList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-DCB0C142100B,查询本地产品详情,/docs/Product/ProductDetails.md,支持查询本地产品详细信息，对应系统【产品】>【产品管理】数据,P0,是,/erp/sc/routing/data/local_inventory/productInfo,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-BB8D0DF598AF,批量查询本地产品详情,/docs/Product/batchGetProductInfo.md,批量查询本地产品详情,P0,是,/erp/sc/routing/data/local_inventory/batchGetProductInfo,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-A4D3F436FF1F,查询产品属性列表,/docs/Product/attributeList.md,查询产品属性列表,P0,是,/erp/sc/routing/storage/attribute/attributeList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-5AFC6979F657,查询多属性产品列表,/docs/Product/spuList.md,查询多属性产品列表,P0,是,/erp/sc/routing/storage/spu/spuList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-30AF347E45FE,查询多属性产品详情,/docs/Product/spuInfo.md,查询多属性产品详情,P0,是,/erp/sc/routing/storage/spu/info,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-DA189364D1B7,查询捆绑产品关系列表,/docs/Product/bundledProductList.md,查询捆绑产品关系列表,P0,是,/erp/sc/routing/data/local_inventory/bundledProductList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-BD16C6D25A0D,查询产品辅料列表,/docs/Product/productAuxList.md,查询产品辅料列表,P0,是,/erp/sc/routing/data/local_inventory/productAuxList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-82FF3AF996D2,查询产品品牌列表,/docs/Product/Brand.md,支持查询本地产品品牌列表，对应系统【产品】>【品牌管理】数据,P0,是,/erp/sc/data/local_inventory/brand,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-75F4963569A6,查询产品分类列表,/docs/Product/Category.md,支持查询本地产品的分类列表，对应【产品】>【产品分类】数据,P0,是,/erp/sc/routing/data/local_inventory/category,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-226730376E6B,查询产品标签,/docs/Product/GetProductTag.md,查询产品标签,P0,是,/label/operation/v1/label/product/list,GET,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-6F96FE519F29,查询操作日志,/docs/Product/GetPagingLogLists.md,查询操作日志,P0,是,/basicOpen/product/getPagingLogLists,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-F6A548F96FD0,产品管理-查询透明计划商品列表,/docs/Product/getTransparencyProductList.md,产品管理-查询透明计划商品列表,P0,是,/basicOpen/product/getTransparencyProductList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
采购,采购管理页,LX-D332F931885E,查询采购单列表,/docs/Purchase/PurchaseOrderList.md,支持查询采购单列表，对应系统【采购】>【采购单】数据,P0,是,/erp/sc/routing/data/local_inventory/purchaseOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-D332F931885E,查询采购单列表,/docs/Purchase/PurchaseOrderList.md,支持查询采购单列表，对应系统【采购】>【采购单】数据,P0,是,/erp/sc/routing/data/local_inventory/purchaseOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
售后,售后与客服页,LX-853A6501F0BF,查询采购退货单列表,/docs/Purchase/getPurchaseReturnOrderList.md,查询采购退货单列表,P0,是,/erp/sc/routing/purchase/purchase_return_order/getPurchaseReturnOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
采购,采购管理页,LX-853A6501F0BF,查询采购退货单列表,/docs/Purchase/getPurchaseReturnOrderList.md,查询采购退货单列表,P0,是,/erp/sc/routing/purchase/purchase_return_order/getPurchaseReturnOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-853A6501F0BF,查询采购退货单列表,/docs/Purchase/getPurchaseReturnOrderList.md,查询采购退货单列表,P0,是,/erp/sc/routing/purchase/purchase_return_order/getPurchaseReturnOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
采购,采购管理页,LX-B31DFDC39206,查询采购变更单列表,/docs/Purchase/changeOrderList.md,查询采购变更单列表,P0,是,/erp/sc/routing/purchase/purchaseChangeOrder/changeOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-B31DFDC39206,查询采购变更单列表,/docs/Purchase/changeOrderList.md,查询采购变更单列表,P0,是,/erp/sc/routing/purchase/purchaseChangeOrder/changeOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
采购,采购管理页,LX-9BF4536568D4,查询委外订单列表,/docs/Purchase/getOrders.md,查询委外订单列表,P0,是,/erp/sc/routing/purchase/purchaseOutsourceOrder/getOrders,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-9BF4536568D4,查询委外订单列表,/docs/Purchase/getOrders.md,查询委外订单列表,P0,是,/erp/sc/routing/purchase/purchaseOutsourceOrder/getOrders,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-96F32A1090F0,查询加工计划列表,/docs/Warehouse/WorkOrderPlanList.md,支持查询加工计划列表，对应系统【采购】加工计划列表数据。,P0,是,/basicOpen/openapi/workOrder/processPlanList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
采购,采购管理页,LX-96F32A1090F0,查询加工计划列表,/docs/Warehouse/WorkOrderPlanList.md,支持查询加工计划列表，对应系统【采购】加工计划列表数据。,P0,是,/basicOpen/openapi/workOrder/processPlanList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-96F32A1090F0,查询加工计划列表,/docs/Warehouse/WorkOrderPlanList.md,支持查询加工计划列表，对应系统【采购】加工计划列表数据。,P0,是,/basicOpen/openapi/workOrder/processPlanList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-41E509578C0D,查询仓库列表,/docs/Warehouse/WarehouseLists.md,支持查询本地仓库列表信息，对应系统【设置】>【仓库设置】仓库列表,P0,是,/erp/sc/data/local_inventory/warehouse,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-EC6F4C39346F,查询本地仓位列表,/docs/Warehouse/warehouseBin.md,查询本地仓位列表,P0,是,/erp/sc/routing/data/local_inventory/warehouseBin,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-CF87F80AD608,查询产品仓位列表,/docs/Warehouse/getEntryRecommendBinList.md,查询产品仓位列表,P0,是,/basicOpen/warehouseConfig/warehouseBin/getEntryRecommendBinList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-CF87F80AD608,查询产品仓位列表,/docs/Warehouse/getEntryRecommendBinList.md,查询产品仓位列表,P0,是,/basicOpen/warehouseConfig/warehouseBin/getEntryRecommendBinList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-A791179C9A78,查询AWD库存列表,/docs/Warehouse/AwdWarehouseDetail.md,查询AWD库存列表,P0,是,/basicOpen/openapi/storage/awdWarehouseDetail,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-41B3AF612B29,查询仓库库存明细,/docs/Warehouse/InventoryDetails.md,支持查询本地仓/海外仓库存明细，对应系统【仓库】>【库存明细】数据,P0,是,/erp/sc/routing/data/local_inventory/inventoryDetails,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-47310BFA3E0D,查询仓位库存明细,/docs/Warehouse/inventoryBinDetails.md,查询仓位库存明细,P0,是,/erp/sc/routing/data/local_inventory/inventoryBinDetails,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-1181D4F827FB,查询批次明细,/docs/Warehouse/GetBatchDetailList.md,查询批次明细,P0,是,/erp/sc/routing/data/local_inventory/getBatchDetailList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-BCB9BCE2437F,查询批次流水,/docs/Warehouse/GetBatchStatementList.md,查询批次流水,P0,是,/erp/sc/routing/data/local_inventory/getBatchStatementList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-F0CE5B7F589B,查询库存流水（新）,/docs/Warehouse/WarehouseStatementNew.md,查询库存流水（新）,P0,是,/erp/sc/routing/inventoryLog/WareHouseInventory/wareHouseCenterStatement,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-8DE4E360B561,查询仓位流水,/docs/Warehouse/wareHouseBinStatement.md,查询仓位流水,P0,是,/erp/sc/routing/data/local_inventory/wareHouseBinStatement,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-4B9473A2D2E1,查询收货单列表,/docs/Warehouse/PurchaseReceiptOrderList.md,查询收货单列表,P0,是,/erp/sc/routing/deliveryReceipt/PurchaseReceiptOrder/getOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
采购,采购管理页,LX-4B9473A2D2E1,查询收货单列表,/docs/Warehouse/PurchaseReceiptOrderList.md,查询收货单列表,P0,是,/erp/sc/routing/deliveryReceipt/PurchaseReceiptOrder/getOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-4B9473A2D2E1,查询收货单列表,/docs/Warehouse/PurchaseReceiptOrderList.md,查询收货单列表,P0,是,/erp/sc/routing/deliveryReceipt/PurchaseReceiptOrder/getOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
售后,售后与客服页,LX-1C62776E886A,查询销售退货单列表,/docs/Warehouse/ReturnList.md,查询销售退货单列表,P0,是,/pb/mp/returns/v2/list,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-1C62776E886A,查询销售退货单列表,/docs/Warehouse/ReturnList.md,查询销售退货单列表,P0,是,/pb/mp/returns/v2/list,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-1C62776E886A,查询销售退货单列表,/docs/Warehouse/ReturnList.md,查询销售退货单列表,P0,是,/pb/mp/returns/v2/list,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-ECAEE8038F87,查询质检单列表,/docs/Warehouse/ReceiptOrderQcList.md,查询质检单列表,P0,是,/erp/sc/routing/deliveryReceipt/ReceiptOrderQc/getOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-ECAEE8038F87,查询质检单列表,/docs/Warehouse/ReceiptOrderQcList.md,查询质检单列表,P0,是,/erp/sc/routing/deliveryReceipt/ReceiptOrderQc/getOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-5D311ED3B89E,查询质检单详情,/docs/Warehouse/qualityInspectionOrderDetail.md,查询质检单详情,P0,是,/basicOpen/qualityInspectionOrder/detail,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-5D311ED3B89E,查询质检单详情,/docs/Warehouse/qualityInspectionOrderDetail.md,查询质检单详情,P0,是,/basicOpen/qualityInspectionOrder/detail,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-A78D6BB9DC24,查询入库单列表,/docs/Warehouse/inboundgetOrders.md,查询入库单列表,P0,是,/erp/sc/routing/storage/inbound/getOrders,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-A78D6BB9DC24,查询入库单列表,/docs/Warehouse/inboundgetOrders.md,查询入库单列表,P0,是,/erp/sc/routing/storage/inbound/getOrders,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-179D3B8A9F63,查询出库单列表,/docs/Warehouse/outboundgetOrders.md,查询出库单列表,P0,是,/erp/sc/routing/storage/outbound/getOrders,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-179D3B8A9F63,查询出库单列表,/docs/Warehouse/outboundgetOrders.md,查询出库单列表,P0,是,/erp/sc/routing/storage/outbound/getOrders,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-F23293A702BB,查询销售出库单详情,/docs/Warehouse/WmsOrderDetail.md,支持查询ERP中【仓库】>【销售出库单】数据，即自发货订单销售出库单,P0,是,/basicOpen/wmsOrder/getWmsOrdersByOrderNumbers,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-F23293A702BB,查询销售出库单详情,/docs/Warehouse/WmsOrderDetail.md,支持查询ERP中【仓库】>【销售出库单】数据，即自发货订单销售出库单,P0,是,/basicOpen/wmsOrder/getWmsOrdersByOrderNumbers,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-29AE97DABE08,加工单列表,/docs/Warehouse/getProcessOrderLists.md,加工单列表,P0,是,/erp/sc/routing/inventoryReceipt/StorageProcess/getOrderLists,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-29AE97DABE08,加工单列表,/docs/Warehouse/getProcessOrderLists.md,加工单列表,P0,是,/erp/sc/routing/inventoryReceipt/StorageProcess/getOrderLists,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-4E3A3DA2B70A,查询调拨单列表,/docs/Warehouse/getStorageAllocationList.md,支持查询本地仓库调拨单列表,P0,是,/erp/sc/routing/inventoryReceipt/StorageAllocation/getStorageAllocationList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-9909117FD1E7,查询调整单列表,/docs/Warehouse/getStorageAdjustOrderList.md,查询调整单列表,P0,是,/erp/sc/routing/inventoryReceipt/StorageAdjustment/getStorageAdjustOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-9909117FD1E7,查询调整单列表,/docs/Warehouse/getStorageAdjustOrderList.md,查询调整单列表,P0,是,/erp/sc/routing/inventoryReceipt/StorageAdjustment/getStorageAdjustOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-D5353A465E6D,查询盘点单列表,/docs/Warehouse/checkGetOrderList.md,查询盘点单列表,P0,是,/erp/sc/routing/inventoryReceipt/InventoryCheck/getOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-D5353A465E6D,查询盘点单列表,/docs/Warehouse/checkGetOrderList.md,查询盘点单列表,P0,是,/erp/sc/routing/inventoryReceipt/InventoryCheck/getOrderList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-642D33967219,查询盘点单详情,/docs/Warehouse/checkGetOrderDetail.md,查询盘点单详情,P0,是,/erp/sc/routing/inventoryReceipt/InventoryCheck/getOrderDetail,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-642D33967219,查询盘点单详情,/docs/Warehouse/checkGetOrderDetail.md,查询盘点单详情,P0,是,/erp/sc/routing/inventoryReceipt/InventoryCheck/getOrderDetail,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-75157159D29E,获取自定义入库类型,/docs/Warehouse/inboundGetCustomTypes.md,获取自定义入库类型,P0,是,/erp/sc/routing/storage/inbound/getCustomTypes,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-10C1BC0E9648,获取自定义出库类型,/docs/Warehouse/outboundGetCustomTypes.md,获取自定义出库类型,P0,是,/erp/sc/routing/storage/outbound/getCustomTypes,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-7773B7A1FDF9,查询海外仓备货单列表,/docs/Warehouse/listInbound.md,支持查询海外仓备货单列表，对应系统【仓库】>【海外仓备货单】数据,P0,是,/erp/sc/routing/owms/inbound/listInbound,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-EB2B3813F515,查询备货单详情,/docs/Warehouse/OverSeasStockDetail.md,查询备货单详情,P0,是,/basicOpen/overSeaWarehouse/stockOrder/detail,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-EBADE37CF17C,获取备货单号,/docs/Warehouse/listOrderNos.md,获取备货单号,P0,是,/erp/sc/routing/owms/inbound/listOrderNos,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-EBADE37CF17C,获取备货单号,/docs/Warehouse/listOrderNos.md,获取备货单号,P0,是,/erp/sc/routing/owms/inbound/listOrderNos,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-E5E2F516B966,查询备货单装箱信息,/docs/Warehouse/getPackingData.md,查询备货单装箱信息,P0,是,/erp/sc/routing/owms/inbound/getPackingData,GET,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-ACB0219BB470,查询备货单收货记录,/docs/Warehouse/GetReceiveGoodRecords.md,查询备货单收货记录,P0,是,/erp/sc/routing/owms/inbound/getReceiveGoodRecords,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
仓库,仓库与库存页,LX-814E67414272,查询系统产品与第三方海外仓产品映射列表,/docs/Warehouse/matchSkuList.md,支持查询本地产品与第三方海外仓产品映射列表,P0,是,/erp/sc/routing/owms/inbound/matchSkuList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-814E67414272,查询系统产品与第三方海外仓产品映射列表,/docs/Warehouse/matchSkuList.md,支持查询本地产品与第三方海外仓产品映射列表,P0,是,/erp/sc/routing/owms/inbound/matchSkuList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
