interface_id,priority,level_1_module,level_2_module,level_3_module,interface_name,http_method,api_path,document_path,doc_status,tested_status,tested_date,tested_by,requires_real_credential,has_sample_response,matches_old_db,usable_for_phase_1,notes
LX-A4D3F436FF1F,P0,产品,,,查询产品属性列表,POST,/erp/sc/routing/storage/attribute/attributeList,/docs/Product/attributeList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-226730376E6B,P0,产品,,,查询产品标签,GET,/label/operation/v1/label/product/list,/docs/Product/GetProductTag.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-BD16C6D25A0D,P0,产品,,,查询产品辅料列表,POST,/erp/sc/routing/data/local_inventory/productAuxList,/docs/Product/productAuxList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-5AFC6979F657,P0,产品,,,查询多属性产品列表,POST,/erp/sc/routing/storage/spu/spuList,/docs/Product/spuList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-30AF347E45FE,P0,产品,,,查询多属性产品详情,POST,/erp/sc/routing/storage/spu/info,/docs/Product/spuInfo.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-DA189364D1B7,P0,产品,,,查询捆绑产品关系列表,POST,/erp/sc/routing/data/local_inventory/bundledProductList,/docs/Product/bundledProductList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-6F96FE519F29,P0,产品,,,查询操作日志,POST,/basicOpen/product/getPagingLogLists,/docs/Product/GetPagingLogLists.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-3F1F087FF8A1,P0,产品,,,查询本地产品列表,POST,/erp/sc/routing/data/local_inventory/productList,/docs/Product/ProductLists.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-DCB0C142100B,P0,产品,,,查询本地产品详情,POST,/erp/sc/routing/data/local_inventory/productInfo,/docs/Product/ProductDetails.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-2046A9CB4520,P2,产品,,,标记产品标签,POST,/label/operation/v1/label/product/mark,/docs/Product/SetProductTag.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-A8BA6E5445AA,P2,产品,,,添加 / 编辑产品分类,POST,/erp/sc/routing/storage/category/set,/docs/Product/SetCategory.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-3B1AB09F56B1,P2,产品,,,添加 / 编辑产品属性,POST,/erp/sc/routing/storage/attribute/set,/docs/Product/attributeSet.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-1BDE9AFED615,P2,产品,,,添加 / 编辑捆绑产品,POST,/erp/sc/routing/storage/product/setBundled,/docs/Product/SetBundled.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-E5135AAB2CB9,P2,产品,,,添加 / 编辑辅料,POST,/erp/sc/routing/storage/product/setAux,/docs/Product/setAux.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-E85460D3A0AD,P2,产品,,,添加/编辑产品品牌,POST,/erp/sc/storage/brand/set,/docs/Product/SetBrand.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-DC8F85A264F4,P2,产品,,,添加/编辑多属性产品,POST,/erp/sc/routing/storage/spu/set,/docs/Product/spuSet.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-F00018116434,P2,产品,,,添加/编辑本地产品,POST,/erp/sc/routing/storage/product/set,/docs/Product/SetProduct.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-44D4A6C312C6,P0,产品,,,获取UPC编码列表,POST,/listing/publish/api/upc/upcList,/docs/Product/UpcList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-A78F75179F06,P3,仓库,仓库设置,,启用、禁用仓位,POST,/erp/sc/routing/storage/wareHouseBin/switchStatus,/docs/Warehouse/switchStatus.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-CF87F80AD608,P0,仓库,仓库设置,,查询产品仓位列表,POST,/basicOpen/warehouseConfig/warehouseBin/getEntryRecommendBinList,/docs/Warehouse/getEntryRecommendBinList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-41E509578C0D,P0,仓库,仓库设置,,查询仓库列表,POST,/erp/sc/data/local_inventory/warehouse,/docs/Warehouse/WarehouseLists.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-EC6F4C39346F,P0,仓库,仓库设置,,查询本地仓位列表,POST,/erp/sc/routing/data/local_inventory/warehouseBin,/docs/Warehouse/warehouseBin.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-208BCCE30B24,P2,仓库,仓库设置,,海外仓sku取消配对,POST,/basicOpen/overseaWarehouseSetting/productUnMatch,/docs/Warehouse/OverseaWarehouseProductUnMatch.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-EECD62D39B8C,P2,仓库,仓库设置,,海外仓sku配对,POST,/basicOpen/overseaWarehouseSetting/productMatch,/docs/Warehouse/OverseaWarehouseProductMatch.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-0C9F53813C1C,P2,仓库,仓库设置,,添加/修改仓库,POST,/erp/sc/storage/wareHouse/edit,/docs/Warehouse/EditWarehouse.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-4C457588B444,P2,仓库,仓库设置,,添加仓位,POST,/erp/sc/routing/storage/wareHouseBin/create,/docs/Warehouse/binCreate.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-F395006EFE91,P2,仓库,出入库,,入库单确认入库,POST,/basicOpen/inboundOrder/inbound/setInbound,/docs/Warehouse/InboundOrderConfirm.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-02B0DCBC4860,P2,仓库,出入库,,出库单确认出库,POST,/basicOpen/outboundOrder/outbound/setOutbound,/docs/Warehouse/OutboundOrderConfirm.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-5C1C08254572,P2,仓库,出入库,,创建加工单 / 拆分单,POST,/erp/sc/routing/inventoryReceipt/StorageProcess/addStorageProcessOrder,/docs/Warehouse/addStorageProcessOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-8F4BA5E003C6,P2,仓库,出入库,,创建已完成的SKU调整单,POST,/erp/sc/routing/inventoryReceipt/StorageAdjustment/addSkuAdjustmentOrder,/docs/Warehouse/addSkuAdjustmentOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-1FA55392B264,P2,仓库,出入库,,创建已完成的成本补录单,POST,/erp/sc/routing/inventoryReceipt/CostChangeOrder/finishCostChangeOrder,/docs/Warehouse/FinishCostChangeOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-A054BADFE10F,P2,仓库,出入库,,创建已完成的换标调整单,POST,/erp/sc/routing/inventoryReceipt/StorageAdjustment/addRebrandAdjustmentOrder,/docs/Warehouse/addRebrandAdjustmentOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-E6238EC4E51A,P2,仓库,出入库,,创建已完成的数量调整单,POST,/erp/sc/routing/inventoryReceipt/StorageAdjustment/addAdjustmentOrder,/docs/Warehouse/addAdjustmentOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-2D7501EFFF14,P2,仓库,出入库,,创建已完成的盘点单,POST,/erp/sc/routing/inventoryReceipt/InventoryCheck/addOrder,/docs/Warehouse/checkAddOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-41BB2D2886D2,P2,仓库,出入库,,创建待收货/已完成的调拨单,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/addAllocationOrder,/docs/Warehouse/AddAllocationOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-5EBF326CAE51,P2,仓库,出入库,,创建待调拨的调拨单,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/submitAllocationOrder,/docs/Warehouse/submitAllocationOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-ECC5B6E072BC,P2,仓库,出入库,,删除出库单,DELETE,/basicOpen/outboundOrder/outbound/delete,/docs/Warehouse/outboundOrderDelete.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-50E3A9271BE9,P3,仓库,出入库,,删除调拨单,DELETE,/basicOpen/storageAllocationList/delete,/docs/Warehouse/DeleteStorageAllocationList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-29AE97DABE08,P0,仓库,出入库,,加工单列表,POST,/erp/sc/routing/inventoryReceipt/StorageProcess/getOrderLists,/docs/Warehouse/getProcessOrderLists.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-032E4A4848FB,P3,仓库,出入库,,撤销入库单,POST,/basicOpen/inboundOrder/inbound/setOrderRevoke,/docs/Warehouse/SetInboundOrderRevoke.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-C0FCAFE34051,P3,仓库,出入库,,撤销出库单,POST,/basicOpen/outboundOrder/outbound/setOrderRevoke,/docs/Warehouse/SetOutboundOrderRevoke.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-FC8B93582D77,P3,仓库,出入库,,撤销调拨单,POST,/basicOpen/storageAllocationList/cancel,/docs/Warehouse/CancelStorageAllocationList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-A78D6BB9DC24,P0,仓库,出入库,,查询入库单列表,POST,/erp/sc/routing/storage/inbound/getOrders,/docs/Warehouse/inboundgetOrders.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-179D3B8A9F63,P0,仓库,出入库,,查询出库单列表,POST,/erp/sc/routing/storage/outbound/getOrders,/docs/Warehouse/outboundgetOrders.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-D5353A465E6D,P0,仓库,出入库,,查询盘点单列表,POST,/erp/sc/routing/inventoryReceipt/InventoryCheck/getOrderList,/docs/Warehouse/checkGetOrderList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-642D33967219,P0,仓库,出入库,,查询盘点单详情,POST,/erp/sc/routing/inventoryReceipt/InventoryCheck/getOrderDetail,/docs/Warehouse/checkGetOrderDetail.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-4E3A3DA2B70A,P0,仓库,出入库,,查询调拨单列表,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/getStorageAllocationList,/docs/Warehouse/getStorageAllocationList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-9909117FD1E7,P0,仓库,出入库,,查询调整单列表,POST,/erp/sc/routing/inventoryReceipt/StorageAdjustment/getStorageAdjustOrderList,/docs/Warehouse/getStorageAdjustOrderList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-E726A7FC946C,P2,仓库,出入库,,查询调整单确认调整异步结果,POST,/basicOpen/adjustOrder/adjust/getAdjustStatus,/docs/Warehouse/GetAdjustOrderConfirmResult.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-F23293A702BB,P0,仓库,出入库,,查询销售出库单详情,POST,/basicOpen/wmsOrder/getWmsOrdersByOrderNumbers,/docs/Warehouse/WmsOrderDetail.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-B6250EFFD833,P2,仓库,出入库,,添加入库单,POST,/erp/sc/routing/storage/storage/orderAdd,/docs/Warehouse/OrderAdd.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-FEFC2C739C57,P2,仓库,出入库,,添加出库单,POST,/erp/sc/routing/storage/storage/orderAddOut,/docs/Warehouse/OrderAddOut.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-75157159D29E,P0,仓库,出入库,,获取自定义入库类型,POST,/erp/sc/routing/storage/inbound/getCustomTypes,/docs/Warehouse/inboundGetCustomTypes.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-10C1BC0E9648,P0,仓库,出入库,,获取自定义出库类型,POST,/erp/sc/routing/storage/outbound/getCustomTypes,/docs/Warehouse/outboundGetCustomTypes.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-A6E36DA67F9C,P3,仓库,出入库,,调拨单全部收货,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/receiveAllocationOrder,/docs/Warehouse/receiveAllocationOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-C59B5D5BB158,P3,仓库,出入库,,调拨单分批收货,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/partlyReceiveAllocationOrder,/docs/Warehouse/partlyReceiveAllocationOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-375342860CAD,P3,仓库,出入库,,调拨单结束到货,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/finishReceiveAllocationOrder,/docs/Warehouse/finishReceiveAllocationOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-24115FEF3839,P2,仓库,出入库,,调整单确认调整,POST,/basicOpen/adjustOrder/adjust/setAdjust,/docs/Warehouse/AdjustOrderConfirm.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-FD9302CF208A,P0,仓库,发货,,查询销售出库单列表,POST,/erp/sc/routing/wms/order/wmsOrderList,/docs/Warehouse/WmsOrderList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-F596F7E8C481,P0,仓库,发货,,查询销售出库单物流面单,POST,/erp/sc/routing/wms/order/getWmsLogisticsLabels,/docs/Warehouse/wmsOrderGetWmsLogisticsLabels.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-A8841B7061A1,P2,仓库,发货,,物流下单 - 编辑运单号/跟踪号,POST,/basicOpen/logisticsOrdering/setTrackingNo,/docs/Warehouse/setTrackingNo.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-890B84A34002,P2,仓库,发货,,设置包裹尺寸,POST,/erp/sc/routing/wms/order/setOrderPackageSize,/docs/Warehouse/setOrderPackageSize.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-330811625C41,P3,仓库,发货,,销售出库单截单,POST,/basicOpen/wmsOrder/cancel,/docs/Warehouse/cancelWmsOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-A791179C9A78,P0,仓库,库存&流水,,查询AWD库存列表,POST,/basicOpen/openapi/storage/awdWarehouseDetail,/docs/Warehouse/AwdWarehouseDetail.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-47310BFA3E0D,P0,仓库,库存&流水,,查询仓位库存明细,POST,/erp/sc/routing/data/local_inventory/inventoryBinDetails,/docs/Warehouse/inventoryBinDetails.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-8DE4E360B561,P0,仓库,库存&流水,,查询仓位流水,POST,/erp/sc/routing/data/local_inventory/wareHouseBinStatement,/docs/Warehouse/wareHouseBinStatement.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-41B3AF612B29,P0,仓库,库存&流水,,查询仓库库存明细,POST,/erp/sc/routing/data/local_inventory/inventoryDetails,/docs/Warehouse/InventoryDetails.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-F0CE5B7F589B,P0,仓库,库存&流水,,查询库存流水（新）,POST,/erp/sc/routing/inventoryLog/WareHouseInventory/wareHouseCenterStatement,/docs/Warehouse/WarehouseStatementNew.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-6F8ABDE7B566,P3,仓库,库存&流水,,查询库存流水（旧）,POST,/erp/sc/routing/data/local_inventory/wareHouseStatement,/docs/Warehouse/WarehouseStatement.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-1181D4F827FB,P0,仓库,库存&流水,,查询批次明细,POST,/erp/sc/routing/data/local_inventory/getBatchDetailList,/docs/Warehouse/GetBatchDetailList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-BCB9BCE2437F,P0,仓库,库存&流水,,查询批次流水,POST,/erp/sc/routing/data/local_inventory/getBatchStatementList,/docs/Warehouse/GetBatchStatementList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-AA0068524F96,P2,仓库,收货质检,,创建待收货的收货单,POST,/erp/sc/routing/deliveryReceipt/PurchaseReceiptOrder/createReceiptOrder,/docs/Warehouse/createReceiptOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-BE1057CB168C,P1,仓库,收货质检,,待收货退货单快捷入库,POST,/basicOpen/return/order/fastStorageIn,/docs/Warehouse/returnOrderFastStorageIn.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-186837F0F7C4,P2,仓库,收货质检,,收货单-编辑备注,POST,/basicOpen/inboundOrder/receiptOrder/updateOrderInfo,/docs/Warehouse/receiptOrderUpdateOrderInfo.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-E8B767C41774,P3,仓库,收货质检,,收货单到货,POST,/erp/sc/routing/deliveryReceipt/PurchaseReceiptOrder/receive,/docs/Warehouse/Receive.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-FE893F657641,P3,仓库,收货质检,,收货单快捷入库,POST,/erp/sc/routing/deliveryReceipt/PurchaseReceiptOrder/fastReceive,/docs/Warehouse/FastReceive.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-4B9473A2D2E1,P0,仓库,收货质检,,查询收货单列表,POST,/erp/sc/routing/deliveryReceipt/PurchaseReceiptOrder/getOrderList,/docs/Warehouse/PurchaseReceiptOrderList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-ECAEE8038F87,P0,仓库,收货质检,,查询质检单列表,POST,/erp/sc/routing/deliveryReceipt/ReceiptOrderQc/getOrderList,/docs/Warehouse/ReceiptOrderQcList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-5D311ED3B89E,P0,仓库,收货质检,,查询质检单详情,POST,/basicOpen/qualityInspectionOrder/detail,/docs/Warehouse/qualityInspectionOrderDetail.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-1C62776E886A,P0,仓库,收货质检,,查询销售退货单列表,POST,/pb/mp/returns/v2/list,/docs/Warehouse/ReturnList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-E6696C712FDB,P1,仓库,收货质检,,订单退款,POST,/basicOpen/openapi/salesOrder/refundOrder,/docs/Sale/RefundOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-D8BC30F67A4B,P2,仓库,海外仓,,上传备货单装箱信息,POST,/erp/sc/routing/owms/inbound/packing,/docs/Warehouse/packing.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-5567B5700B78,P2,仓库,海外仓,,创建待发货/待收货/已完成的备货单,POST,/erp/sc/routing/owms/inbound/createInbound,/docs/Warehouse/CreateInbound.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-9AE1466FB085,P2,仓库,海外仓,,删除备货单,DELETE,/basicOpen/overSeaWarehouse/stockOrder/delete,/docs/Warehouse/DeleteOverSeaStockOrder.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-87182E99B1B7,P3,仓库,海外仓,,备货单分批收货,POST,/erp/sc/routing/owms/inbound/batchesReceipt,/docs/Warehouse/inboundBatchesReceipt.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
