name,type,required,default,example,enum,description,path,interface_id,is_pagination_param,is_time_param,business_key_type
logistics_fee_currency,string,是,,CNY,,物流费用币种,head_logistics_list.estimate_expenses_list.logistics_fee_currency,LX-01FE108B1B92,否,否,
other_fee_arr,array,是,,,,预估费用-其他费： [获取发货单头程物流-其他费类型](docs/FBA/GetHeadLogisticsFeeTypes)接口获取,head_logistics_list.estimate_expenses_list.other_fee_arr,LX-01FE108B1B92,否,否,
fee_type_id,string,是,,241192037543649792,,其他费id（20位）,head_logistics_list.estimate_expenses_list.other_fee_arr[].fee_type_id,LX-01FE108B1B92,否,否,
other_amount,string,是,,1.00,,其他费金额,head_logistics_list.estimate_expenses_list.other_fee_arr[].other_amount,LX-01FE108B1B92,否,否,
other_currency,string,是,,CNY,,其他费币种,head_logistics_list.estimate_expenses_list.other_fee_arr[].other_currency,LX-01FE108B1B92,否,否,
price,string,是,,1.00,,单价,head_logistics_list.estimate_expenses_list.price,LX-01FE108B1B92,否,否,
price_currency,string,是,,CNY,,单价币种,head_logistics_list.estimate_expenses_list.price_currency,LX-01FE108B1B92,否,否,
remark,string,否,,预估费用备注,,备注,head_logistics_list.estimate_expenses_list.remark,LX-01FE108B1B92,否,否,
tax_fee_type,int,是,,1,,税费分摊方式： 0：产品-计费重 1：产品-实重 2：产品-体积重 3：产品-数量 4：自定义 5：箱子-体积),head_logistics_list.tax_fee_type,LX-01FE108B1B92,否,否,
tracking_list,list,是,,,,轨迹信息,head_logistics_list.tracking_list,LX-01FE108B1B92,否,否,
order_type_code,int,是,,2,【注意：与运输类型联动关系】 1：订舱号 2：提单号 3：箱号 4：其他 5：跟踪单号 6：航班号 当transport_type=1时只能传5 当transport_type=2时只能传1、2、3、4 当transport_type=3时只能传2、6,单号类型：【注意：与运输类型联动关系】 1：订舱号 2：提单号 3：箱号 4：其他 5：跟踪单号 6：航班号 当transport_type=1时只能传5 当transport_type=2时只能传1、2、3、4 当transport_type=3时只能传2、6,head_logistics_list.tracking_list.order_type_code,LX-01FE108B1B92,否,否,订单号
remark,string,是,,这是一个备注,,备注,head_logistics_list.tracking_list.remark,LX-01FE108B1B92,否,否,
shippers,string,是,,coscoxxx,,承运商【运输类型为海运时才有意义】,head_logistics_list.tracking_list.shippers,LX-01FE108B1B92,否,否,
tracking_no,string,是,,cxdhxxxxxx123,,查询单号,head_logistics_list.tracking_list.tracking_no,LX-01FE108B1B92,否,否,
transport_type,int,是,,1,1：快递 2：海运 3：空运 4：其他,运输类型： 1：快递 2：海运 3：空运 4：其他,head_logistics_list.tracking_list.transport_type,LX-01FE108B1B92,否,否,
logistics_id,int,否,,,,物流方式id【按计费重分摊时，需传对应物流方式，以获取材积参数用于计算】,logistics_id,LX-01FE108B1B92,否,否,
logistics_list,array,否,,,,旧版物流信息，即将下线,logistics_list,LX-01FE108B1B92,否,否,
logistics_money,string,否,,,,预估物流费用,logistics_list[].logistics_money,LX-01FE108B1B92,否,否,
logistics_money_unit,string,否,,,,预估物流费用币种,logistics_list[].logistics_money_unit,LX-01FE108B1B92,否,否,
logistics_order_no,string,否,,,,物流单号,logistics_list[].logistics_order_no,LX-01FE108B1B92,否,否,订单号
operation_type,int,否,,,=新增2=修改3=删除,物流费用操作类型:=新增2=修改3=删除,logistics_list[].operation_type,LX-01FE108B1B92,否,否,
other_money,string,否,,,,预估其他费用,logistics_list[].other_money,LX-01FE108B1B92,否,否,
other_money_remark,string,否,,,,预估费用备注,logistics_list[].other_money_remark,LX-01FE108B1B92,否,否,
other_money_unit,string,否,,,,预估其他费用币种,logistics_list[].other_money_unit,LX-01FE108B1B92,否,否,
real_logistics_money,number,否,,,,实际物流费用,logistics_list[].real_logistics_money,LX-01FE108B1B92,否,否,
real_logistics_money_unit,string,否,,,,实际物流费用币种,logistics_list[].real_logistics_money_unit,LX-01FE108B1B92,否,否,
real_other_money,number,否,,,,实际其他费用,logistics_list[].real_other_money,LX-01FE108B1B92,否,否,
real_other_money_remark,string,否,,,,实际其他费用备注,logistics_list[].real_other_money_remark,LX-01FE108B1B92,否,否,
real_other_money_unit,string,否,,,,实际其他费用币种,logistics_list[].real_other_money_unit,LX-01FE108B1B92,否,否,
track_order_no,string,否,,,,追踪号,logistics_list[].track_order_no,LX-01FE108B1B92,否,否,订单号
wool_id,int,否,,,,物流记录id,logistics_list[].wool_id,LX-01FE108B1B92,否,否,
logistics_list_type,int,是,旧版物流信息,0,,物流信息版本：0或者不传：默认旧版物流信息 1：新版物流信息,logistics_list_type,LX-01FE108B1B92,否,否,
overseas_order_no,string,是,,,,海外仓备货单号,overseas_order_no,LX-01FE108B1B92,否,否,订单号
overseas_type,int,否,为是】：1,,,下单至第三方【当收货仓为API海外仓时可填，不填默认为是】：1 否，2 是【默认】,overseas_type,LX-01FE108B1B92,否,否,
product_list,array,否,,,,产品信息,product_list,LX-01FE108B1B92,否,否,
cg_package_height,number,否,,,,包装规格-高（CM）,product_list[].cg_package_height,LX-01FE108B1B92,否,否,
cg_package_length,number,否,,,,包装规格-长（CM）,product_list[].cg_package_length,LX-01FE108B1B92,是,否,
cg_package_width,number,否,,,,包装规格-宽（CM）,product_list[].cg_package_width,LX-01FE108B1B92,否,否,仓库
cg_product_gross_weight,number,否,,,,单品净重（G）,product_list[].cg_product_gross_weight,LX-01FE108B1B92,否,否,
fba_cost,number,否,,,,单位头程费用,product_list[].fba_cost,LX-01FE108B1B92,否,否,
fba_cost_currency_unit,string,否,,,,单位头程费用币种单位,product_list[].fba_cost_currency_unit,LX-01FE108B1B92,否,否,
fnsku,string,否,,,,fnsku,product_list[].fnsku,LX-01FE108B1B92,否,否,SKU
product_code,string,否,,,,三方产品编码,product_list[].product_code,LX-01FE108B1B92,否,否,
product_id,int,否,,,,本地商品id,product_list[].product_id,LX-01FE108B1B92,否,否,
remark,string,否,,,,商品备注,product_list[].remark,LX-01FE108B1B92,否,否,
sid,string,否,,,,店铺id，有fnsku填,product_list[].sid,LX-01FE108B1B92,否,否,"店铺, SKU"
stock_num,int,否,,,,"备货数量,整箱配对需要乘以配对数量",product_list[].stock_num,LX-01FE108B1B92,否,否,
tariffs,number,否,,,,报关费用,product_list[].tariffs,LX-01FE108B1B92,否,否,
tariffs_currency_unit,string,否,,,,报关费用币种,product_list[].tariffs_currency_unit,LX-01FE108B1B92,否,否,
real_delivery_time,string,否,,2022-6-24 12:00:25,,实际发货时间，格式：Y-m-d H:i:s,real_delivery_time,LX-01FE108B1B92,否,是,
remark,string,否,,,,备注,remark,LX-01FE108B1B92,否,否,
share_id,int,否,】,,,头程费分配方式： 0 按计费重【默认值】 1 按实重 2 按体积重 3 按SKU数量 4自定义,share_id,LX-01FE108B1B92,否,否,SKU
endTime,string,是,,2023-01-31,,活动结束时间,endTime,LX-020A91A14B42,否,是,
pageNum,number,是,,1,,分页页码,pageNum,LX-020A91A14B42,是,否,
pageSize,number,是,,20,,分页大小,pageSize,LX-020A91A14B42,是,否,
promotionType,array,否,,[],,促销类型,promotionType,LX-020A91A14B42,否,否,
sellerSku,string,是,,31-250J-NKH6,,seller_sku(msku),sellerSku,LX-020A91A14B42,否,否,"店铺, MSKU, SKU"
sortField,string,是,,startTime,,"排序项（""cost"", ""drawQuantity"", ""exchangeQuantity"", ""exchangeRate"",""startTime"",""salesVolume"",""salesAmount"",""startTime""）",sortField,LX-020A91A14B42,否,是,
sortType,string,是,,desc,,排序类型 asc desc,sortType,LX-020A91A14B42,否,否,
startTime,string,是,,2023-01-01,,活动开始时间,startTime,LX-020A91A14B42,否,是,
status,array,否,,[],,促销状态,status,LX-020A91A14B42,否,否,
storeId,string,是,,132,,店铺id,storeId,LX-020A91A14B42,否,否,店铺
orderSn,array,否,,IB240730005,,出库单单号,orderSn,LX-02B0DCBC4860,否,否,订单号
delete_receipt_order,int,否,,1,,是否同步删除收货单 删除则传值 1，否则不传值,delete_receipt_order,LX-032E4A4848FB,否,否,订单号
order_sn,string,是,,"""IB241122002""",,入库单号 对应[查询入库单列表](docs/Warehouse/inboundgetOrders)data>>order_sn字段,order_sn,LX-032E4A4848FB,否,否,"订单号, 仓库"
endTime,string,是,,2024-09-12,,活动结束时间,endTime,LX-03449E2EC06C,否,是,
pageNum,number,是,,1,,分页页码,pageNum,LX-03449E2EC06C,是,否,
pageSize,number,是,,20,,分页大小,pageSize,LX-03449E2EC06C,是,否,
promotionType,array,否,,[],,促销类型,promotionType,LX-03449E2EC06C,否,否,
sellerSku,string,是,,7T-2COF-AV9I,,seller_sku(msku),sellerSku,LX-03449E2EC06C,否,否,"店铺, MSKU, SKU"
sortField,string,是,,startTime,,"排序项（""cost"", ""drawQuantity"", ""exchangeQuantity"", ""exchangeRate"",""startTime"",""salesVolume"",""salesAmount"",""startTime""）",sortField,LX-03449E2EC06C,否,是,
sortType,string,是,,desc,,排序类型 asc desc,sortType,LX-03449E2EC06C,否,否,
startTime,string,是,,2024-09-10,,活动开始时间,startTime,LX-03449E2EC06C,否,是,
status,array,否,,[],,促销状态： 0 其他 1 进行中 2 已过期 3 未开始,status,LX-03449E2EC06C,否,否,
storeId,string,是,,43,,店铺id,storeId,LX-03449E2EC06C,否,否,店铺
end_date,string,是,,2024-08-02,,结束日期，Y-m-d，闭区间，当筛选update_time时，格式为：Y-m-d H:i:s,end_date,LX-03B82747B50A,否,是,
is_combo,int,否,,0,,是否为组合商品：0 否，1 是,is_combo,LX-03B82747B50A,否,否,
is_related_process_plan,int,否,,0,,是否关联加工计划，0：否，1：是,is_related_process_plan,LX-03B82747B50A,否,否,
length,int,否,500,20,,分页长度，默认500，上限500,length,LX-03B82747B50A,是,否,
offset,int,否,0,0,,分页偏移量，默认0,offset,LX-03B82747B50A,是,否,
plan_sns,array,否,,"[""PP240730001"",""PP240730002"",""PP240730005""]",,采购计划编号,plan_sns,LX-03B82747B50A,否,否,
search_field_time,string,是,,creator_time,,时间搜索维度： creator_time 创建时间 expect_arrive_time 预计到货时间 update_time 更新时间,search_field_time,LX-03B82747B50A,否,是,
sids,array,否,,[0],,店铺id ，对应[查询亚马逊店铺列表](docs/BasicData/SellerLists)接口对应字段【sid】,sids,LX-03B82747B50A,否,否,店铺
start_date,string,是,,2024-07-30,,开始日期，Y-m-d，闭区间，当筛选update_time时，格式为：Y-m-d H:i:s,start_date,LX-03B82747B50A,否,是,
status,array,否,,[-2],,状态： 2 待采购 -2 已完成 121 待审批 122 已驳回 -3、124 已作废,status,LX-03B82747B50A,否,否,
param,object,是,,,,查询条件,param,LX-043952293C81,否,否,
length,int,否,,20,,分页长度,param.length,LX-043952293C81,是,否,
page,int,否,,1,,分页页码,param.page,LX-043952293C81,是,否,
provider_type,int,是,,0,0 API物流 1 自定义物流 2 海外仓物流 4 平台物流,物流商类型： 0 API物流 1 自定义物流 2 海外仓物流 4 平台物流,param.provider_type,LX-043952293C81,否,否,平台
data,array,是,,,,,data,LX-04A6C56A7729,否,否,
is_sync_pic,int,是,,0,,是否同步listing图片：0 否，1 是,data[].is_sync_pic,LX-04A6C56A7729,否,否,
marketplace_id,string,否,,xxxxxxxxxxxxxxxx,,市场id,data[].marketplace_id,LX-04A6C56A7729,否,否,
msku,string,是,,xxxx,,msku,data[].msku,LX-04A6C56A7729,否,否,"MSKU, SKU"
seller_id,string,否,,A4373BD6018725,,"亚马逊店铺id ,对应[查询亚马逊店铺列表](docs/BasicData/SellerLists)接口对应字段【seller_id】",data[].seller_id,LX-04A6C56A7729,否,否,店铺
sku,string,是,,xxx,,本地sku,data[].sku,LX-04A6C56A7729,否,否,SKU
endDate,string,否,,2026-04-28,,结束时间 Y-m-d,endDate,LX-051118326D63,否,是,
length,int,是,20,20,,分页大小，默认20，最大200,length,LX-051118326D63,是,否,
offset,int,是,0,0,,偏移量，默认0,offset,LX-051118326D63,是,否,
optUid,array,否,,"[1,128727]",,装箱员UID,optUid,LX-051118326D63,否,否,
packingCon,array,否,,"[""2""]",,装箱情况 1-未装箱 2-部分装箱 3-全装箱,packingCon,LX-051118326D63,否,否,
pickingStatus,string,否,,1,,"拣货状态 ""1""-已拣 ""0""-待拣",pickingStatus,LX-051118326D63,否,否,
printLabel,string,否,,1,,"打印标签 ""1""-已打印 ""0""-未打印",printLabel,LX-051118326D63,否,否,
printTask,string,否,,1,,"打印单据 ""1""-已打印 ""0""-未打印",printTask,LX-051118326D63,否,否,
relateSnType,array,否,,"[""1"",""2""]",,单据类型 1-发货计划 2-发货单 3-FBA货件 4-海外仓备货单,relateSnType,LX-051118326D63,否,否,
searchField,string,否,,task_sn,,搜索字段 relate_sn-关联单据单号 task_sn-任务单号 shipment_id-货件单号 local_sta_name-STA任务名称 msku-MSKU sku-SKU fnsku-FNSKU,searchField,LX-051118326D63,否,否,"MSKU, SKU"
searchFieldTime,string,否,,done,,时间搜索 create-创建时间 done-完成时间,searchFieldTime,LX-051118326D63,否,是,
searchValue,string,否,,,,搜索值,searchValue,LX-051118326D63,否,否,
seniorSearchList,array,否,,,,高级搜索,seniorSearchList,LX-051118326D63,否,否,
searchField,string,否,,task_sn,,搜索字段 relate_sn-关联单据单号 task_sn-任务单号 shipment_id-货件单号 local_sta_name-STA任务名称 msku-MSKU sku-SKU fnsku-FNSKU,seniorSearchList[].searchField,LX-051118326D63,否,否,"MSKU, SKU"
searchValue,array,否,,"[""PL250714001""]",,搜索值,seniorSearchList[].searchValue,LX-051118326D63,否,否,
startDate,string,否,,2026-04-22,,开始时间 Y-m-d,startDate,LX-051118326D63,否,是,
wid,array,否,,[47],,仓库ID,wid,LX-051118326D63,否,否,仓库
advertiserIds,array,是,,"[""123456789012345""]",,广告账号ID列表，BigInteger数组，必须至少选择一个店铺,advertiserIds,LX-058A66EC8E8E,否,否,"店铺, 广告账号"
campaignIds,array,否,,"[123456789,987654321]",,广告活动ID列表，Long数组，指定查询的广告活动ID，支持批量查询,campaignIds,LX-058A66EC8E8E,否,否,
campaignType,array,是,,"[""sponsoredProducts-manual"",""sponsoredProducts-auto""]","sponsoredProducts-manual(SP手动), sponsoredProducts-auto(SP自动), sba(SB品牌广告), video(SV视频广告)","广告活动类型列表，String数组，枚举值：sponsoredProducts-manual(SP手动), sponsoredProducts-auto(SP自动), sba(SB品牌广告), video(SV视频广告)。注意：1.查询sp广告报告必须且只能携带sponsoredProducts-manual和sponsoredProducts-auto；2.查询sb广告报告必须且只能携带sba；3.查询sv广告报告必须且只能携带video",campaignType,LX-058A66EC8E8E,否,否,
day,int,是,,14,"3, 14, 30","归因天数，数据归因天数，枚举值：3, 14, 30",day,LX-058A66EC8E8E,否,否,
endDate,string,是,,2024-11-12,,结束日期，必填，格式：yyyy-MM-dd，且 startDate 和 endDate 间隔不能超过31天,endDate,LX-058A66EC8E8E,否,是,
operationSourceType,string,是,,gateway,,操作来源，openapi调用必传gateway，前端传web,operationSourceType,LX-058A66EC8E8E,否,否,
orderField,string,否,按广告花费倒序,adSpend,,排序字段，支持对查询结果中的任意字段进行排序（驼峰命名）。包括但不限于：基础指标(numAdsShown/numAdsClicks/adSpend)、销售指标(attributedSales/attributedOrders/attributedUnits/advertisedSkuSales/advertisedSkuUnits)、关联指标(otherSkuSales/otherSkuUnits)、品牌新买家指标(ntbOrders/ntbRevenue/ntbUnits)、计算指标(cpc/ctr/cvr/acos/roas/aov/cpa)、时间字段(startDate/endDate/entityCreateAt)等所有返回的报表字段。不传时默认按广告花费倒序,orderField,LX-058A66EC8E8E,否,是,"SKU, 订单号"
orderType,string,否,ASC,DESC,"ASC-升序, DESC-降序","排序类型，枚举值：ASC-升序, DESC-降序。不传时默认ASC",orderType,LX-058A66EC8E8E,否,否,订单号
pageNum,int,是,,1,,页码，分页时的页码，从1开始,pageNum,LX-058A66EC8E8E,是,否,
pageSize,int,是,,20,,每页大小，分页时每页显示的记录数，openapi必传且小于2000,pageSize,LX-058A66EC8E8E,是,否,
paging,boolean,是,,1,,是否分页，openapi必填true,paging,LX-058A66EC8E8E,是,否,
searchText,string,否,,测试广告活动,,搜索文本，模糊搜索广告活动名称,searchText,LX-058A66EC8E8E,否,否,
startDate,string,是,,2024-11-01,,开始日期，必填，格式：yyyy-MM-dd，且 startDate 和 endDate 间隔不能超过31天,startDate,LX-058A66EC8E8E,否,是,
status,array,否,,"[""enabled"",""live""]","enabled-启用, paused-暂停, scheduled-已安排, rescheduled-重新安排, live-运行中, proposal-提议, completed-已完成","广告活动状态列表，String数组，枚举值：enabled-启用, paused-暂停, scheduled-已安排, rescheduled-重新安排, live-运行中, proposal-提议, completed-已完成",status,LX-058A66EC8E8E,否,否,
global_order_no,array,是,,"""global_order_no"": [""103584428644401152""]",,系统单号列表,global_order_no,LX-06B2902A5005,否,否,订单号
tag_ids,array,是,,"[""907365081622413334""]",,标签id，上限200,tag_ids,LX-06BDDD3B9762,否,否,
flag,number,否,传0,1,,默认传0，返回为空则传1，实时请求亚马逊获取后台最新数据,flag,LX-074FA24909F1,否,否,
marketplaceId,string,是,,xxxxxxxxxxxxxxxx,,市场id,marketplaceId,LX-074FA24909F1,否,否,
productType,string,是,,ADVERTISEMENT_COLLECTIBLES,,商品原始类目,productType,LX-074FA24909F1,否,否,
sellerId,string,是,,xxxxxxxxxxxxxxxx,,店铺id,sellerId,LX-074FA24909F1,否,否,店铺
businessCodeArr,array,否,,[],,单据类型 1：发货单 2：备货单,businessCodeArr,LX-081EC270CC8F,否,否,
coeffVariation,string,否,,15.5,,差异系数,coeffVariation,LX-081EC270CC8F,否,否,
endDate,string,否,,2024-12-31,,结束日期,endDate,LX-081EC270CC8F,否,是,
length,int,是,20,20,,每页条数，默认20，最大200,length,LX-081EC270CC8F,是,否,
logisticsChannelId,array,否,,[],,物流渠道,logisticsChannelId,LX-081EC270CC8F,否,否,
logisticsProviderId,array,否,,[],,物流商,logisticsProviderId,LX-081EC270CC8F,否,否,
offset,int,是,0,0,,分页偏移量，默认0,offset,LX-081EC270CC8F,是,否,
payStatus,array,否,,[],,付款状态 0：未申请 1：已申请 2：部分付款 3：已付清 4：无,payStatus,LX-081EC270CC8F,否,否,
searchField,string,否,,shipment_sn,,搜索字段名称 shipment_sn：关联单号 tracking_number：物流商单号 replace_tracking_number：查询单号 order_no：头程物流单单号 shipment_id：货件单号,searchField,LX-081EC270CC8F,否,否,订单号
searchFieldTime,string,否,,shipment_time,,搜索时间类型 shipment_time：发货时间 gmt_create：发货单创建时间 delivery_date：实际妥投时间 transportation_start_time：运输开始时间,searchFieldTime,LX-081EC270CC8F,否,是,
searchValue,string,否,,SP230706004,,搜索字段值,searchValue,LX-081EC270CC8F,否,否,
seniorSearchList,array,否,,,,批量搜索,seniorSearchList,LX-081EC270CC8F,否,否,
searchField,string,否,,shipment_sn,,批量搜索字段,seniorSearchList[].searchField,LX-081EC270CC8F,否,否,
searchValue,array,否,,"[""SP240104002"",""SP240104001""]",,批量搜索值,seniorSearchList[].searchValue,LX-081EC270CC8F,否,否,
shippingMethodIds,array,否,,[],,运输方式,shippingMethodIds,LX-081EC270CC8F,否,否,
sidsArr,array,否,,[],,店铺,sidsArr,LX-081EC270CC8F,否,否,店铺
startDate,string,否,,2024-01-01,,开始日期,startDate,LX-081EC270CC8F,否,是,
planSns,array,否,,"[""PP240925001""]",,采购计划单号列表，与ppgSns至少传一个,planSns,LX-09D9FC0B390B,否,否,
ppgSns,array,否,,"[""PPG240925001""]",,采购计划批次号列表，与planSns至少传一个,ppgSns,LX-09D9FC0B390B,否,否,
value,string,是,,你好,,备注内容，最长2000字符,value,LX-09D9FC0B390B,否,否,
currencyCode,string,否,原币种】,CNY,"原币种,CNY,USD,EUR,JPY,AUD,CAD,MXN,GBP,INR,AED,SGD,SAR,BRL,SEK,PLN,TRY,HKD","币种code【默认原币种】, 可选值：原币种,CNY,USD,EUR,JPY,AUD,CAD,MXN,GBP,INR,AED,SGD,SAR,BRL,SEK,PLN,TRY,HKD",currencyCode,LX-09FE9E838C58,否,否,
endDate,string,是,,2023-12-05,,查询时间，双闭区间，格式：Y-m-d 或 Y-m-d H:i:s,endDate,LX-09FE9E838C58,否,是,
length,int,否,20,20,,分页长度，默认20，上限5000,length,LX-09FE9E838C58,是,否,
offset,int,否,0,0,,分页偏移量，默认0,offset,LX-09FE9E838C58,是,否,
searchField,string,否,,asin,"seller_sku,asin,local_name, local_sku","搜索值类型, 可选值:seller_sku,asin,local_name, local_sku",searchField,LX-09FE9E838C58,否,否,"店铺, ASIN, SKU"
searchValue,array,否,,"[""B09""]",,搜索的值,searchValue,LX-09FE9E838C58,否,否,
sids,array,否,,"[113,115]",,店铺id ，对应[查询亚马逊店铺列表](docs/BasicData/SellerLists)接口对应字段【sid】,sids,LX-09FE9E838C58,否,否,店铺
startDate,string,是,,2023-02-01,,查询时间，双闭区间，格式：Y-m-d 或 Y-m-d H:i:s,startDate,LX-09FE9E838C58,否,是,
endTime,string,是,,2024-12-31,,结束时间，必填，格式：yyyy-MM-dd，根据searchFieldTime字段确定查询维度,endTime,LX-0A3BA5A66954,否,是,
length,int,否,,20,,分页长度,length,LX-0A3BA5A66954,是,否,
offset,int,否,,0,,分页偏移量,offset,LX-0A3BA5A66954,是,否,
purchaserIds,array,否,,"[1234567890,9876543210]",,采购方ID列表，筛选指定采购方的其他费用,purchaserIds,LX-0A3BA5A66954,否,否,
searchField,string,否,,order_sn,"order_sn-采购单号, create_username-采购员，配合searchValue使用","搜索字段，枚举值：order_sn-采购单号, create_username-采购员，配合searchValue使用",searchField,LX-0A3BA5A66954,否,否,订单号
searchFieldTime,string,否,create_time,create_time,"create_time-创建时间, close_time-付清时间，默认create_time","时间维度，枚举值：create_time-创建时间, close_time-付清时间，默认create_time",searchFieldTime,LX-0A3BA5A66954,否,是,
searchValue,string,否,,PO20240101,,搜索值，根据searchField字段进行搜索，支持模糊查询,searchValue,LX-0A3BA5A66954,否,否,
startTime,string,是,,2024-01-01,,开始时间，必填，格式：yyyy-MM-dd，根据searchFieldTime字段确定查询维度,startTime,LX-0A3BA5A66954,否,是,
status,int,否,查询全部,0,"0-查询未付清, 1-查询已付清，不传默认查询全部","付款状态，枚举值：0-查询未付清, 1-查询已付清，不传默认查询全部",status,LX-0A3BA5A66954,否,否,
supplierIds,array,否,,"[1234567890,9876543210]",,应付对象ID列表，筛选指定供应商的其他费用,supplierIds,LX-0A3BA5A66954,否,否,
items,array,是,,,,物流信息,items,LX-0B7D3781D062,否,否,
logistics_company,string,是,,中通快递,,物流商,items[].logistics_company,LX-0B7D3781D062,否,否,
logistics_order_no,string,是,,ZT12456789,,物流单号（支持字母、数字、下划线、短划线）,items[].logistics_order_no,LX-0B7D3781D062,否,否,订单号
order_sn,string,是,,PO220418003,,采购单号（待到货或已完成状态）,order_sn,LX-0B7D3781D062,否,否,订单号
is_cancel_relation,int,是,】,1,,是否取消关联采购计划：0 否【默认】，1 是,is_cancel_relation,LX-0BAC0252E36F,否,否,
order_sn,string,是,,PO211112002,,采购单系统单号,order_sn,LX-0BAC0252E36F,否,否,订单号
reason,string,是,,不需要采购了,,作废原因，长度不超过80,reason,LX-0BAC0252E36F,否,否,
areas,array,否,,"[""US""]",,站点/区域列表,areas,LX-0BB27D85E792,否,否,
brands,array,否,,"[""123""]",,品牌ID列表,brands,LX-0BB27D85E792,否,否,
categories,array,否,,"[""456""]",,分类ID列表,categories,LX-0BB27D85E792,否,否,
countries,array,否,,"[""US""]",,国家列表,countries,LX-0BB27D85E792,否,否,
currency,string,否,为空展示原币种,USD,,币种，默认为空展示原币种,currency,LX-0BB27D85E792,否,否,
dateRangeType,int,否,为0,0,0=结算时间 1=下单时间 默认为0,日期范围类型： 0=结算时间 1=下单时间 默认为0,dateRangeType,LX-0BB27D85E792,否,是,
developers,array,否,,"[""789""]",,开发人UID列表,developers,LX-0BB27D85E792,否,否,
endDate,string,否,,2025-12-31,,结束日期 yyyy-MM-dd,endDate,LX-0BB27D85E792,否,是,
