interface_id,level_1_module,level_2_module,level_3_module,interface_name,document_title,document_path,http_method,api_path,purpose,token_bucket_capacity,directory_chain,system_modules,remarks,is_read,is_write,has_side_effect,priority,phase_one,pagination_method,max_page_size_or_length,returns_total,supports_incremental_sync,incremental_time_fields,max_query_range,recommended_sync_strategy,filter_action,filter_reason
LX-DA189364D1B7,产品,,,查询捆绑产品关系列表,查询捆绑产品关系列表,/docs/Product/bundledProductList.md,POST,/erp/sc/routing/data/local_inventory/bundledProductList,查询捆绑产品关系列表,1,产品 / 查询捆绑产品关系列表,产品,,是,否,否,P0,是,offset/length,1000,否,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-6F96FE519F29,产品,,,查询操作日志,查询操作日志,/docs/Product/GetPagingLogLists.md,POST,/basicOpen/product/getPagingLogLists,查询操作日志,1,产品 / 查询操作日志,产品,,是,否,否,P0,是,page/limit,,是,是,"endTime, startTime",,按店铺循环 + 按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-3F1F087FF8A1,产品,,,查询本地产品列表,查询本地产品列表,/docs/Product/ProductLists.md,POST,/erp/sc/routing/data/local_inventory/productList,支持查询产品列表，对应系统【产品】>【产品管理】数据,1,产品 / 查询本地产品列表,产品,,是,否,否,P0,是,offset/length,1000,是,是,"update_time_start, update_time_end, create_time_start, create_time_end",,按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-DCB0C142100B,产品,,,查询本地产品详情,查询本地产品详情,/docs/Product/ProductDetails.md,POST,/erp/sc/routing/data/local_inventory/productInfo,支持查询本地产品详细信息，对应系统【产品】>【产品管理】数据,1,产品 / 查询本地产品详情,产品,,是,否,否,P0,是,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-2046A9CB4520,产品,,,标记产品标签,标记产品标签,/docs/Product/SetProductTag.md,POST,/label/operation/v1/label/product/mark,标记产品标签,10,产品 / 标记产品标签,产品,,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-A8BA6E5445AA,产品,,,添加 / 编辑产品分类,添加 / 编辑产品分类,/docs/Product/SetCategory.md,POST,/erp/sc/routing/storage/category/set,支持添加/编辑本地产品分类,1,产品 / 添加/编辑产品分类,产品,,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-3B1AB09F56B1,产品,,,添加 / 编辑产品属性,添加 / 编辑产品属性,/docs/Product/attributeSet.md,POST,/erp/sc/routing/storage/attribute/set,>1、接口对属性数据为覆盖式操作，入参属性值会全量覆盖系统里已存在属性内容,1,产品 / 添加/编辑产品属性,产品,,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-1BDE9AFED615,产品,,,添加 / 编辑捆绑产品,添加 / 编辑捆绑产品,/docs/Product/SetBundled.md,POST,/erp/sc/routing/storage/product/setBundled,添加 / 编辑捆绑产品,1,产品 / 添加/编辑捆绑产品,产品,,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-E5135AAB2CB9,产品,,,添加 / 编辑辅料,添加 / 编辑辅料,/docs/Product/setAux.md,POST,/erp/sc/routing/storage/product/setAux,添加 / 编辑辅料,1,产品 / 添加/编辑辅料,产品,,否,是,是,P2,否,其他,,否,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-E85460D3A0AD,产品,,,添加/编辑产品品牌,添加/编辑产品品牌,/docs/Product/SetBrand.md,POST,/erp/sc/storage/brand/set,支持添加/编辑本地产品品牌信息,10,产品 / 添加/编辑产品品牌,产品,,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-DC8F85A264F4,产品,,,添加/编辑多属性产品,添加/编辑多属性产品,/docs/Product/spuSet.md,POST,/erp/sc/routing/storage/spu/set,添加/编辑多属性产品,5,产品 / 添加/编辑多属性产品,产品,,否,是,是,P2,否,其他,,是,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-F00018116434,产品,,,添加/编辑本地产品,添加/编辑本地产品,/docs/Product/SetProduct.md,POST,/erp/sc/routing/storage/product/set,支持添加/编辑系统本地产品信息,10,产品 / 添加/编辑本地产品,产品,,否,是,是,P2,否,其他,,否,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-44D4A6C312C6,产品,,,获取UPC编码列表,获取UPC编码列表,/docs/Product/UpcList.md,POST,/listing/publish/api/upc/upcList,获取UPC编码列表,10,产品 / 查询UPC编码列表,产品,,是,否,否,P0,是,offset/length,,是,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-A78F75179F06,仓库,仓库设置,,启用、禁用仓位,启用、禁用仓位,/docs/Warehouse/switchStatus.md,POST,/erp/sc/routing/storage/wareHouseBin/switchStatus,启用、禁用仓位,1,仓库 / 仓库设置 / 启用、禁用仓位,仓库,,否,否,否,P3,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-CF87F80AD608,仓库,仓库设置,,查询产品仓位列表,查询产品仓位列表,/docs/Warehouse/getEntryRecommendBinList.md,POST,/basicOpen/warehouseConfig/warehouseBin/getEntryRecommendBinList,查询产品仓位列表,1,仓库 / 仓库设置 / 查询产品仓位列表,"仓库, 产品",,是,否,否,P0,是,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-41E509578C0D,仓库,仓库设置,,查询仓库列表,查询仓库列表,/docs/Warehouse/WarehouseLists.md,POST,/erp/sc/data/local_inventory/warehouse,支持查询本地仓库列表信息，对应系统【设置】>【仓库设置】仓库列表,1,仓库 / 仓库设置 / 查询仓库列表,仓库,,是,否,否,P0,是,offset/length,,是,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-EC6F4C39346F,仓库,仓库设置,,查询本地仓位列表,查询本地仓位列表,/docs/Warehouse/warehouseBin.md,POST,/erp/sc/routing/data/local_inventory/warehouseBin,查询本地仓位列表,1,仓库 / 仓库设置 / 查询本地仓位列表,仓库,,是,否,否,P0,是,其他,,是,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-208BCCE30B24,仓库,仓库设置,,海外仓sku取消配对,海外仓sku取消配对,/docs/Warehouse/OverseaWarehouseProductUnMatch.md,POST,/basicOpen/overseaWarehouseSetting/productUnMatch,支持取消海外仓商品sku配对,1,仓库 / 仓库设置 / 海外sku取消配对,"仓库, 产品",,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-EECD62D39B8C,仓库,仓库设置,,海外仓sku配对,海外仓sku配对,/docs/Warehouse/OverseaWarehouseProductMatch.md,POST,/basicOpen/overseaWarehouseSetting/productMatch,支持海外仓商品进行sku配对,1,仓库 / 仓库设置 / 海外仓sku配对,"仓库, 产品",,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-0C9F53813C1C,仓库,仓库设置,,添加/修改仓库,添加/修改仓库,/docs/Warehouse/EditWarehouse.md,POST,/erp/sc/storage/wareHouse/edit,创建客户自定义仓库id与领星系统本地仓仓库id映射关系，添加/修改本地仓库基础信息,10,仓库 / 仓库设置 / 添加/修改仓库,仓库,,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-4C457588B444,仓库,仓库设置,,添加仓位,添加仓位,/docs/Warehouse/binCreate.md,POST,/erp/sc/routing/storage/wareHouseBin/create,添加仓位,1,仓库 / 仓库设置 / 添加仓位,仓库,,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-F395006EFE91,仓库,出入库,,入库单确认入库,入库单确认入库,/docs/Warehouse/InboundOrderConfirm.md,POST,/basicOpen/inboundOrder/inbound/setInbound,入库单确认入库,1,仓库 / 出入库 / 入库单确认入库,"仓库, 销售",,否,是,是,P2,否,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-02B0DCBC4860,仓库,出入库,,出库单确认出库,出库单确认出库,/docs/Warehouse/OutboundOrderConfirm.md,POST,/basicOpen/outboundOrder/outbound/setOutbound,出库单确认出库,1,仓库 / 出入库 / 出库单确认出库,"仓库, 销售",,否,是,是,P2,否,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-5C1C08254572,仓库,出入库,,创建加工单 / 拆分单,创建加工单 / 拆分单,/docs/Warehouse/addStorageProcessOrder.md,POST,/erp/sc/routing/inventoryReceipt/StorageProcess/addStorageProcessOrder,创建加工单 / 拆分单,1,仓库 / 出入库 / 创建加工单 / 拆分单,"仓库, 销售",,否,是,是,P2,否,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-8F4BA5E003C6,仓库,出入库,,创建已完成的SKU调整单,创建已完成的SKU调整单,/docs/Warehouse/addSkuAdjustmentOrder.md,POST,/erp/sc/routing/inventoryReceipt/StorageAdjustment/addSkuAdjustmentOrder,创建已完成的SKU调整单,1,仓库 / 出入库 / 创建已完成的SKU调整单,"仓库, 产品, 销售",,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-1FA55392B264,仓库,出入库,,创建已完成的成本补录单,创建已完成的成本补录单,/docs/Warehouse/FinishCostChangeOrder.md,POST,/erp/sc/routing/inventoryReceipt/CostChangeOrder/finishCostChangeOrder,创建已完成的成本补录单,1,仓库 / 出入库 / 创建已完成的成本补录单,"仓库, 销售",,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-A054BADFE10F,仓库,出入库,,创建已完成的换标调整单,创建已完成的换标调整单,/docs/Warehouse/addRebrandAdjustmentOrder.md,POST,/erp/sc/routing/inventoryReceipt/StorageAdjustment/addRebrandAdjustmentOrder,创建已完成的换标调整单,1,仓库 / 出入库 / 创建已完成的换标调整单,"仓库, 销售",,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-E6238EC4E51A,仓库,出入库,,创建已完成的数量调整单,创建已完成的数量调整单,/docs/Warehouse/addAdjustmentOrder.md,POST,/erp/sc/routing/inventoryReceipt/StorageAdjustment/addAdjustmentOrder,支持推送已完成的数量调整单至领星ERP，并调整对应数量,1,仓库 / 出入库 / 创建已完成的数量调整单,"仓库, 销售",,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-2D7501EFFF14,仓库,出入库,,创建已完成的盘点单,创建已完成的盘点单,/docs/Warehouse/checkAddOrder.md,POST,/erp/sc/routing/inventoryReceipt/InventoryCheck/addOrder,支持创建已完成的盘点单，盘点类型默认为“SKU+仓位”盘点,1,仓库 / 出入库 / 创建已完成的盘点单,"仓库, 产品, 销售",,否,是,是,P2,否,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-41BB2D2886D2,仓库,出入库,,创建待收货/已完成的调拨单,创建待收货/已完成的调拨单,/docs/Warehouse/AddAllocationOrder.md,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/addAllocationOrder,支持创建“待收货/已完成”状态调拨单，请求成功后，对应调拨单在列表“待收货/已完成”状态,1,仓库 / 出入库 / 创建待收货/已完成的调拨单,"仓库, 销售",,否,是,是,P2,否,其他,,是,是,predict_time,,按店铺循环 + 按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-5EBF326CAE51,仓库,出入库,,创建待调拨的调拨单,创建待调拨的调拨单,/docs/Warehouse/submitAllocationOrder.md,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/submitAllocationOrder,创建待调拨的调拨单,1,仓库 / 出入库 / 创建待调拨的调拨单,"仓库, 销售",,否,是,是,P2,否,其他,,否,是,predict_time,,按店铺循环 + 按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-ECC5B6E072BC,仓库,出入库,,删除出库单,删除出库单,/docs/Warehouse/outboundOrderDelete.md,DELETE,/basicOpen/outboundOrder/outbound/delete,删除出库单,1,仓库 / 出入库 / 删除出库单,"仓库, 销售",,否,是,是,P2,否,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-50E3A9271BE9,仓库,出入库,,删除调拨单,删除调拨单,/docs/Warehouse/DeleteStorageAllocationList.md,DELETE,/basicOpen/storageAllocationList/delete,支持操作删除状态为待审批，待配货，待调拨的调拨单,1,仓库 / 出入库 / 删除调拨单,仓库,,否,是,是,P3,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-29AE97DABE08,仓库,出入库,,加工单列表,加工单列表,/docs/Warehouse/getProcessOrderLists.md,POST,/erp/sc/routing/inventoryReceipt/StorageProcess/getOrderLists,加工单列表,1,仓库 / 出入库 / 加工单列表,"仓库, 销售",,是,否,否,P0,是,offset/length,,是,是,"search_field_time, start_date, end_date",,按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-032E4A4848FB,仓库,出入库,,撤销入库单,撤销入库单,/docs/Warehouse/SetInboundOrderRevoke.md,POST,/basicOpen/inboundOrder/inbound/setOrderRevoke,撤销入库单,1,仓库 / 出入库 / 撤销入库单,"仓库, 销售",,否,否,否,P3,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-C0FCAFE34051,仓库,出入库,,撤销出库单,撤销出库单,/docs/Warehouse/SetOutboundOrderRevoke.md,POST,/basicOpen/outboundOrder/outbound/setOrderRevoke,撤销出库单,1,仓库 / 出入库 / 撤销出库单,"仓库, 销售",,否,否,否,P3,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-FC8B93582D77,仓库,出入库,,撤销调拨单,撤销调拨单,/docs/Warehouse/CancelStorageAllocationList.md,POST,/basicOpen/storageAllocationList/cancel,撤销调拨单,1,仓库 / 出入库 / 撤销调拨单,仓库,,否,否,否,P3,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-A78D6BB9DC24,仓库,出入库,,查询入库单列表,查询入库单列表,/docs/Warehouse/inboundgetOrders.md,POST,/erp/sc/routing/storage/inbound/getOrders,查询入库单列表,1,仓库 / 出入库 / 查询入库单列表,"仓库, 销售",,是,否,否,P0,是,offset/length,200,是,是,"search_field_time, start_date, end_date",,按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-179D3B8A9F63,仓库,出入库,,查询出库单列表,查询出库单列表,/docs/Warehouse/outboundgetOrders.md,POST,/erp/sc/routing/storage/outbound/getOrders,查询出库单列表,1,仓库 / 出入库 / 查询出库单列表,"仓库, 销售",,是,否,否,P0,是,offset/length,200,是,是,"search_field_time, start_date, end_date",,按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-D5353A465E6D,仓库,出入库,,查询盘点单列表,查询盘点单列表,/docs/Warehouse/checkGetOrderList.md,POST,/erp/sc/routing/inventoryReceipt/InventoryCheck/getOrderList,查询盘点单列表,1,仓库 / 出入库 / 查询盘点单列表,"仓库, 销售",,是,否,否,P0,是,其他,,是,是,"date_field, start_date, end_date",,按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-642D33967219,仓库,出入库,,查询盘点单详情,查询盘点单详情,/docs/Warehouse/checkGetOrderDetail.md,POST,/erp/sc/routing/inventoryReceipt/InventoryCheck/getOrderDetail,查询盘点单详情,1,仓库 / 出入库 / 查询盘点单详情,"仓库, 销售",,是,否,否,P0,是,其他,,是,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-4E3A3DA2B70A,仓库,出入库,,查询调拨单列表,查询调拨单列表,/docs/Warehouse/getStorageAllocationList.md,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/getStorageAllocationList,支持查询本地仓库调拨单列表,1,仓库 / 出入库 / 查询调拨单列表,仓库,,是,否,否,P0,是,其他,,是,是,"search_date_type, start_date, end_date",,按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-9909117FD1E7,仓库,出入库,,查询调整单列表,查询调整单列表,/docs/Warehouse/getStorageAdjustOrderList.md,POST,/erp/sc/routing/inventoryReceipt/StorageAdjustment/getStorageAdjustOrderList,查询调整单列表,1,仓库 / 出入库 / 查询调整单列表,"仓库, 销售",,是,否,否,P0,是,其他,,是,是,"search_date_type, start_date, end_date",,按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-E726A7FC946C,仓库,出入库,,查询调整单确认调整异步结果,查询调整单确认调整异步结果,/docs/Warehouse/GetAdjustOrderConfirmResult.md,POST,/basicOpen/adjustOrder/adjust/getAdjustStatus,查询调整单确认调整异步结果,1,仓库 / 出入库 / 查询调整单确认调整结果,"仓库, 销售",,否,是,是,P2,否,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-F23293A702BB,仓库,出入库,,查询销售出库单详情,查询销售出库单详情,/docs/Warehouse/WmsOrderDetail.md,POST,/basicOpen/wmsOrder/getWmsOrdersByOrderNumbers,支持查询ERP中【仓库】>【销售出库单】数据，即自发货订单销售出库单,1,仓库 / 出入库 / 查询销售出库单详情,"仓库, 销售",,是,否,否,P0,是,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-B6250EFFD833,仓库,出入库,,添加入库单,添加入库单,/docs/Warehouse/OrderAdd.md,POST,/erp/sc/routing/storage/storage/orderAdd,支持添加本地仓库入库单，并增加入库仓库库存,1,仓库 / 出入库 / 添加入库单,"仓库, 销售",,否,是,是,P2,否,无,,否,是,inbound_time,,按店铺循环 + 按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-FEFC2C739C57,仓库,出入库,,添加出库单,添加出库单,/docs/Warehouse/OrderAddOut.md,POST,/erp/sc/routing/storage/storage/orderAddOut,支持添加本地仓库出库单，推送成功后扣减出库仓库库存,1,仓库 / 出入库 / 添加出库单,"仓库, 销售",,否,是,是,P2,否,无,,否,是,outbound_time,,按店铺循环 + 按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-75157159D29E,仓库,出入库,,获取自定义入库类型,获取自定义入库类型,/docs/Warehouse/inboundGetCustomTypes.md,POST,/erp/sc/routing/storage/inbound/getCustomTypes,获取自定义入库类型,1,仓库 / 出入库 / 获取自定义入库类型,仓库,,是,否,否,P0,是,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-10C1BC0E9648,仓库,出入库,,获取自定义出库类型,获取自定义出库类型,/docs/Warehouse/outboundGetCustomTypes.md,POST,/erp/sc/routing/storage/outbound/getCustomTypes,获取自定义出库类型,1,仓库 / 出入库 / 获取自定义出库类型,仓库,,是,否,否,P0,是,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-A6E36DA67F9C,仓库,出入库,,调拨单全部收货,调拨单全部收货,/docs/Warehouse/receiveAllocationOrder.md,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/receiveAllocationOrder,支持将系统“待收货“状态的调拨单全部收货，单据状态转为“已完成“，并增加入库仓的库存,1,仓库 / 出入库 / 调拨单全部收货,"仓库, 销售",,否,否,否,P3,否,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-C59B5D5BB158,仓库,出入库,,调拨单分批收货,调拨单分批收货,/docs/Warehouse/partlyReceiveAllocationOrder.md,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/partlyReceiveAllocationOrder,支持将系统待收货状态的调拨单部分收货,1,仓库 / 出入库 / 调拨单分批收货,"仓库, 销售",,否,否,否,P3,否,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-375342860CAD,仓库,出入库,,调拨单结束到货,调拨单结束到货,/docs/Warehouse/finishReceiveAllocationOrder.md,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/finishReceiveAllocationOrder,调拨单结束到货,1,仓库 / 出入库 / 调拨单结束到货,"仓库, 销售",,否,否,否,P3,否,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-24115FEF3839,仓库,出入库,,调整单确认调整,调整单确认调整,/docs/Warehouse/AdjustOrderConfirm.md,POST,/basicOpen/adjustOrder/adjust/setAdjust,异步任务，查询结果请调用：[查询确认调整异步任务结果](docs/Warehouse/GetAdjustOrderConfirmResult.md),1,仓库 / 出入库 / 调整单确认调整,"仓库, 销售",,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-FD9302CF208A,仓库,发货,,查询销售出库单列表,查询销售出库单列表,/docs/Warehouse/WmsOrderList.md,POST,/erp/sc/routing/wms/order/wmsOrderList,支持查询ERP中【仓库】>【销售出库单】数据，即自发货订单销售出库单【默认返回一个月内审核出库的数据，超过一个月请加上时间入参】,1,仓库 / 发货 / 查询销售出库单列表,"仓库, 销售",,是,否,否,P0,是,其他,200,是,是,"time_type, start_date, end_date",,按店铺循环 + 按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-F596F7E8C481,仓库,发货,,查询销售出库单物流面单,查询销售出库单物流面单,/docs/Warehouse/wmsOrderGetWmsLogisticsLabels.md,POST,/erp/sc/routing/wms/order/getWmsLogisticsLabels,查询销售出库单物流面单,1,仓库 / 发货 / 查询销售出库单物流面单,"仓库, 销售",,是,否,否,P0,是,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-A8841B7061A1,仓库,发货,,物流下单 - 编辑运单号/跟踪号,物流下单 - 编辑运单号/跟踪号,/docs/Warehouse/setTrackingNo.md,POST,/basicOpen/logisticsOrdering/setTrackingNo,物流下单 - 编辑运单号/跟踪号,1,仓库 / 发货 / 物流下单 - 编辑运单号/跟踪号,仓库,,否,是,是,P2,否,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-890B84A34002,仓库,发货,,设置包裹尺寸,设置包裹尺寸,/docs/Warehouse/setOrderPackageSize.md,POST,/erp/sc/routing/wms/order/setOrderPackageSize,设置包裹尺寸,1,仓库 / 发货 / 设置包裹尺寸,"仓库, 销售",,否,是,是,P2,否,其他,,否,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
