system_module,applicable_page,interface_id,interface_name,document_path,business_use,phase_one_recommended,priority,remarks
销售,销售与订单页,LX-06BDDD3B9762,删除Listing标签,/docs/Sale/globalTagRemoveTag.md,删除Listing标签,否,P2,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-06BDDD3B9762,删除Listing标签,/docs/Sale/globalTagRemoveTag.md,删除Listing标签,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-EB69D6DC93FB,查询Listing操作日志列表,/docs/Sale/listingOperateLogPageList.md,查询Listing操作日志列表,是,P0,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-EB69D6DC93FB,查询Listing操作日志列表,/docs/Sale/listingOperateLogPageList.md,查询Listing操作日志列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-76CFCB697A50,修改B2B价格,/docs/Sale/b2bPriceModifyPrice.md,修改B2B价格,否,P2,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-76CFCB697A50,修改B2B价格,/docs/Sale/b2bPriceModifyPrice.md,修改B2B价格,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-C79145A7BD7A,Listing新增商品标签,/docs/Sale/AddGoodsTag.md,Listing新增商品标签,否,P3,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-C79145A7BD7A,Listing新增商品标签,/docs/Sale/AddGoodsTag.md,Listing新增商品标签,否,P3,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-2077895D6B9A,Listing删除商品标签,/docs/Sale/DeleteGoodsTag.md,Listing删除商品标签,否,P2,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-2077895D6B9A,Listing删除商品标签,/docs/Sale/DeleteGoodsTag.md,Listing删除商品标签,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-DA41D6369A41,解除Listing配对,/docs/Sale/UnlinkListing.md,支持批量解除Listing配对,否,P2,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-DA41D6369A41,解除Listing配对,/docs/Sale/UnlinkListing.md,支持批量解除Listing配对,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-D806EDEB25E4,查询调价队列,/docs/Sale/adjustPriceAdjustPriceManual.md,查询调价队列,否,P1,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-D806EDEB25E4,查询调价队列,/docs/Sale/adjustPriceAdjustPriceManual.md,查询调价队列,否,P1,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-C76D747AD0DA,刊登管理-获取指定 productType 的 JSON Schema,/docs/Sale/PublishManageGetProductType.md,刊登管理-获取指定 productType 的 JSON Schema,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-C76D747AD0DA,刊登管理-获取指定 productType 的 JSON Schema,/docs/Sale/PublishManageGetProductType.md,刊登管理-获取指定 productType 的 JSON Schema,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-074FA24909F1,刊登管理-获取运费模板,/docs/Sale/GetMerchantShippingGroup.md,刊登管理-获取运费模板,否,P1,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-7D621DDB5AD5,SC订单-设置订单备注,/docs/Sale/ScOrderSetRemark.md,SC订单-设置订单备注,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-EFB08467128D,多渠道订单-交易明细,/docs/Sale/MutilChannelTransactionDetail.md,支持查询【销售】>【SC订单】>【多渠道订单】交易明细数据,否,P3,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-8FB1CC9572F0,导入面单,/docs/Sale/UploadTracking.md,支持自发货订单导入面单,否,P3,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-2EDE9B89E52C,查询促销活动列表-优惠券,/docs/Sale/promotionalActivitiesCouponList.md,查询促销活动列表-优惠券,否,P1,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-14EF57136BD3,查询促销活动列表-秒杀,/docs/Sale/promotionalActivitiesSecKillList.md,查询促销活动列表-秒杀,否,P1,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-1DC5C91C2FE2,查询促销活动列表-管理促销,/docs/Sale/promotionalActivitiesManageList.md,查询促销活动列表-管理促销,否,P1,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-4D53DF8CE668,查询促销活动列表-会员折扣/价格折扣,/docs/Sale/promotionalActivitiesVipDiscountList.md,查询促销活动列表-会员折扣/价格折扣,否,P1,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-F560D3DA6DF1,查询优惠券详情+listing+订单(批量),/docs/Sale/promotionCouponAllDetailBatch.md,查询优惠券详情+listing+订单(批量),是,P0,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-F560D3DA6DF1,查询优惠券详情+listing+订单(批量),/docs/Sale/promotionCouponAllDetailBatch.md,查询优惠券详情+listing+订单(批量),是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-D92C9E37C544,查询管理促销详情+listing+订单(批量),/docs/Sale/promotionManagementAllDetailBatch.md,查询管理促销详情+listing+订单(批量),是,P0,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-D92C9E37C544,查询管理促销详情+listing+订单(批量),/docs/Sale/promotionManagementAllDetailBatch.md,查询管理促销详情+listing+订单(批量),是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-324AF6B69AEF,查询会员折扣or价格折扣详情+listing+订单(批量),/docs/Sale/promotionPrimeDiscountAllDetailBatch.md,查询会员折扣or价格折扣详情+listing+订单(批量),是,P0,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-324AF6B69AEF,查询会员折扣or价格折扣详情+listing+订单(批量),/docs/Sale/promotionPrimeDiscountAllDetailBatch.md,查询会员折扣or价格折扣详情+listing+订单(批量),是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-72966FDD4C29,查询秒杀详情+listing+订单(批量),/docs/Sale/promotionSecKillAllDetailBatch.md,查询秒杀详情+listing+订单(批量),是,P0,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-72966FDD4C29,查询秒杀详情+listing+订单(批量),/docs/Sale/promotionSecKillAllDetailBatch.md,查询秒杀详情+listing+订单(批量),是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-D1E4B7906B42,查询商品折扣列表,/docs/Sale/promotionListingList.md,查询商品折扣列表,是,P0,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-D1E4B7906B42,查询商品折扣列表,/docs/Sale/promotionListingList.md,查询商品折扣列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-03449E2EC06C,查询商品折扣详情-列表-优惠卷,/docs/Sale/promotionListingDetailCoupon.md,查询商品折扣详情-列表-优惠卷,是,P0,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-03449E2EC06C,查询商品折扣详情-列表-优惠卷,/docs/Sale/promotionListingDetailCoupon.md,查询商品折扣详情-列表-优惠卷,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-020A91A14B42,查询商品折扣详情-列表-管理促销,/docs/Sale/promotionListingDetailManage.md,查询商品折扣详情-列表-管理促销,是,P0,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-020A91A14B42,查询商品折扣详情-列表-管理促销,/docs/Sale/promotionListingDetailManage.md,查询商品折扣详情-列表-管理促销,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-FE476B81237F,查询商品折扣详情-列表-会员折扣,/docs/Sale/promotionListingDetailPrimeDiscount.md,查询商品折扣详情-列表-会员折扣,是,P0,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-FE476B81237F,查询商品折扣详情-列表-会员折扣,/docs/Sale/promotionListingDetailPrimeDiscount.md,查询商品折扣详情-列表-会员折扣,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-A404B2104669,查询商品折扣详情-列表-秒杀,/docs/Sale/promotionListingDetailSecKill.md,查询商品折扣详情-列表-秒杀,是,P0,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-A404B2104669,查询商品折扣详情-列表-秒杀,/docs/Sale/promotionListingDetailSecKill.md,查询商品折扣详情-列表-秒杀,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-0CF22467375C,创建UPC编码,/docs/Product/AddCommodityCode.md,创建UPC编码,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-44D4A6C312C6,获取UPC编码列表,/docs/Product/UpcList.md,获取UPC编码列表,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-3F1F087FF8A1,查询本地产品列表,/docs/Product/ProductLists.md,支持查询产品列表，对应系统【产品】>【产品管理】数据,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-DCB0C142100B,查询本地产品详情,/docs/Product/ProductDetails.md,支持查询本地产品详细信息，对应系统【产品】>【产品管理】数据,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-BB8D0DF598AF,批量查询本地产品详情,/docs/Product/batchGetProductInfo.md,批量查询本地产品详情,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-90CFB48DDD46,产品启用、禁用,/docs/Product/productOperateBatch.md,产品启用、禁用,否,P3,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-F00018116434,添加/编辑本地产品,/docs/Product/SetProduct.md,支持添加/编辑系统本地产品信息,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-D2402601914F,批量编辑本地信息,/docs/Product/EditOnSaleTimeAndRemark.md,支持批量编辑在线商品本地信息。,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-A4D3F436FF1F,查询产品属性列表,/docs/Product/attributeList.md,查询产品属性列表,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-3B1AB09F56B1,添加 / 编辑产品属性,/docs/Product/attributeSet.md,>1、接口对属性数据为覆盖式操作，入参属性值会全量覆盖系统里已存在属性内容,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-5AFC6979F657,查询多属性产品列表,/docs/Product/spuList.md,查询多属性产品列表,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-30AF347E45FE,查询多属性产品详情,/docs/Product/spuInfo.md,查询多属性产品详情,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-DC8F85A264F4,添加/编辑多属性产品,/docs/Product/spuSet.md,添加/编辑多属性产品,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-DA189364D1B7,查询捆绑产品关系列表,/docs/Product/bundledProductList.md,查询捆绑产品关系列表,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-1BDE9AFED615,添加 / 编辑捆绑产品,/docs/Product/SetBundled.md,添加 / 编辑捆绑产品,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-BD16C6D25A0D,查询产品辅料列表,/docs/Product/productAuxList.md,查询产品辅料列表,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-E5135AAB2CB9,添加 / 编辑辅料,/docs/Product/setAux.md,添加 / 编辑辅料,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-82FF3AF996D2,查询产品品牌列表,/docs/Product/Brand.md,支持查询本地产品品牌列表，对应系统【产品】>【品牌管理】数据,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-E85460D3A0AD,添加/编辑产品品牌,/docs/Product/SetBrand.md,支持添加/编辑本地产品品牌信息,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-75F4963569A6,查询产品分类列表,/docs/Product/Category.md,支持查询本地产品的分类列表，对应【产品】>【产品分类】数据,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-A8BA6E5445AA,添加 / 编辑产品分类,/docs/Product/SetCategory.md,支持添加/编辑本地产品分类,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-927D66FB6D5A,上传本地产品图片,/docs/Product/UploadPictures.md,支持本地产品图片上传到领星ERP系统内,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-226730376E6B,查询产品标签,/docs/Product/GetProductTag.md,查询产品标签,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-F6890246F185,创建产品标签,/docs/Product/CreateProductTag.md,创建产品标签,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-2046A9CB4520,标记产品标签,/docs/Product/SetProductTag.md,标记产品标签,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-147DA91911E3,删除产品标签,/docs/Product/DelProductTag.md,删除产品标签,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-6F96FE519F29,查询操作日志,/docs/Product/GetPagingLogLists.md,查询操作日志,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-F6A548F96FD0,产品管理-查询透明计划商品列表,/docs/Product/getTransparencyProductList.md,产品管理-查询透明计划商品列表,是,P0,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-B70161F2CA8D,查询供应商列表,/docs/Purchase/Supplier.md,支持查询【采购】>【供应商】中的供应商信息,否,P1,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-D181D27E9336,添加/修改供应商,/docs/Purchase/SupplierEdit.md,支持添加、修改供应商信息到系统【采购】>【供应商】中,否,P2,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-223398DA3539,查询采购方列表,/docs/Purchase/purchaserLists.md,查询采购方列表,否,P1,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-03B82747B50A,查询采购计划列表,/docs/Purchase/getPurchasePlans.md,查询采购计划列表,否,P1,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-A4E9258A3B23,创建待采购的采购计划,/docs/Purchase/createPurchasePlan.md,支持创建采购计划，状态为“待采购”,否,P2,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-D332F931885E,查询采购单列表,/docs/Purchase/PurchaseOrderList.md,支持查询采购单列表，对应系统【采购】>【采购单】数据,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-D332F931885E,查询采购单列表,/docs/Purchase/PurchaseOrderList.md,支持查询采购单列表，对应系统【采购】>【采购单】数据,是,P0,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-583232734D6F,采购单下单,/docs/Purchase/SetOrders.md,支持将 “待下单” 状态采购单变更为 “待到货” 状态,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-583232734D6F,采购单下单,/docs/Purchase/SetOrders.md,支持将 “待下单” 状态采购单变更为 “待到货” 状态,否,P2,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-0BAC0252E36F,作废采购单,/docs/Purchase/Cancel.md,允许作废处于 “待审核”、“待下单”、“待到货”、“已完成” 状态下的采购单,否,P2,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-4674779EEB39,创建待到货的采购单,/docs/Purchase/CreatePurchaseOrder.md,支持创建采购单，状态为“待到货”,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-4674779EEB39,创建待到货的采购单,/docs/Purchase/CreatePurchaseOrder.md,支持创建采购单，状态为“待到货”,否,P2,规则初判；全量接入前由业务负责人确认。
售后,售后与客服页,LX-853A6501F0BF,查询采购退货单列表,/docs/Purchase/getPurchaseReturnOrderList.md,查询采购退货单列表,是,P0,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-853A6501F0BF,查询采购退货单列表,/docs/Purchase/getPurchaseReturnOrderList.md,查询采购退货单列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-853A6501F0BF,查询采购退货单列表,/docs/Purchase/getPurchaseReturnOrderList.md,查询采购退货单列表,是,P0,规则初判；全量接入前由业务负责人确认。
售后,售后与客服页,LX-AB7E08BE0696,创建已完成的采购退货单,/docs/Purchase/createPurchaseReturnOrder.md,支持创建采购退货单，状态为“已完成”,否,P2,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-AB7E08BE0696,创建已完成的采购退货单,/docs/Purchase/createPurchaseReturnOrder.md,支持创建采购退货单，状态为“已完成”,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-AB7E08BE0696,创建已完成的采购退货单,/docs/Purchase/createPurchaseReturnOrder.md,支持创建采购退货单，状态为“已完成”,否,P2,规则初判；全量接入前由业务负责人确认。
售后,售后与客服页,LX-C3A80433378D,作废采购/委外退货单,/docs/Purchase/CancelPurchaseReturnOrder.md,作废采购/委外退货单,否,P2,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-C3A80433378D,作废采购/委外退货单,/docs/Purchase/CancelPurchaseReturnOrder.md,作废采购/委外退货单,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-C3A80433378D,作废采购/委外退货单,/docs/Purchase/CancelPurchaseReturnOrder.md,作废采购/委外退货单,否,P2,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-B31DFDC39206,查询采购变更单列表,/docs/Purchase/changeOrderList.md,查询采购变更单列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-B31DFDC39206,查询采购变更单列表,/docs/Purchase/changeOrderList.md,查询采购变更单列表,是,P0,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-D58D9CF7D14C,创建已完成的采购变更单,/docs/Purchase/createPurchaseChangeOrder.md,支持创建已完成状态的采购变更单，即创建成功后采购单立即变更,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-D58D9CF7D14C,创建已完成的采购变更单,/docs/Purchase/createPurchaseChangeOrder.md,支持创建已完成状态的采购变更单，即创建成功后采购单立即变更,否,P2,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-9BF4536568D4,查询委外订单列表,/docs/Purchase/getOrders.md,查询委外订单列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-9BF4536568D4,查询委外订单列表,/docs/Purchase/getOrders.md,查询委外订单列表,是,P0,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-0B7D3781D062,添加采购单物流信息,/docs/Purchase/addLogistics.md,支持对“待到货”或“已完成”状态的采购单，添加采购单物流信息,否,P2,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-78F82D8A146C,作废采购计划,/docs/Purchase/PurchasePlanCancel.md,允许作废处于 “待审批”、“待采购”状态下的采购计划,否,P2,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-5CD66DB6C0A0,编辑采购单备注,/docs/Purchase/OrderModifyRemark.md,支持快速编辑采购单的单据备注,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-5CD66DB6C0A0,编辑采购单备注,/docs/Purchase/OrderModifyRemark.md,支持快速编辑采购单的单据备注,否,P2,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-09D9FC0B390B,编辑采购计划备注（批量）,/docs/Purchase/PlanModifyRemark.md,支持通过采购计划批次号或采购计划单号批量修改备注,否,P2,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-500C4287A05E,采购单整单结束到货,/docs/Purchase/setOrderFinish.md,采购单整单结束到货,否,P3,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-500C4287A05E,采购单整单结束到货,/docs/Purchase/setOrderFinish.md,采购单整单结束到货,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-96F32A1090F0,查询加工计划列表,/docs/Warehouse/WorkOrderPlanList.md,支持查询加工计划列表，对应系统【采购】加工计划列表数据。,是,P0,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-96F32A1090F0,查询加工计划列表,/docs/Warehouse/WorkOrderPlanList.md,支持查询加工计划列表，对应系统【采购】加工计划列表数据。,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-96F32A1090F0,查询加工计划列表,/docs/Warehouse/WorkOrderPlanList.md,支持查询加工计划列表，对应系统【采购】加工计划列表数据。,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-41E509578C0D,查询仓库列表,/docs/Warehouse/WarehouseLists.md,支持查询本地仓库列表信息，对应系统【设置】>【仓库设置】仓库列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-0C9F53813C1C,添加/修改仓库,/docs/Warehouse/EditWarehouse.md,创建客户自定义仓库id与领星系统本地仓仓库id映射关系，添加/修改本地仓库基础信息,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-EC6F4C39346F,查询本地仓位列表,/docs/Warehouse/warehouseBin.md,查询本地仓位列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-4C457588B444,添加仓位,/docs/Warehouse/binCreate.md,添加仓位,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-A78F75179F06,启用、禁用仓位,/docs/Warehouse/switchStatus.md,启用、禁用仓位,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-EECD62D39B8C,海外仓sku配对,/docs/Warehouse/OverseaWarehouseProductMatch.md,支持海外仓商品进行sku配对,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-EECD62D39B8C,海外仓sku配对,/docs/Warehouse/OverseaWarehouseProductMatch.md,支持海外仓商品进行sku配对,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-208BCCE30B24,海外仓sku取消配对,/docs/Warehouse/OverseaWarehouseProductUnMatch.md,支持取消海外仓商品sku配对,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-208BCCE30B24,海外仓sku取消配对,/docs/Warehouse/OverseaWarehouseProductUnMatch.md,支持取消海外仓商品sku配对,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-CF87F80AD608,查询产品仓位列表,/docs/Warehouse/getEntryRecommendBinList.md,查询产品仓位列表,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-CF87F80AD608,查询产品仓位列表,/docs/Warehouse/getEntryRecommendBinList.md,查询产品仓位列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-A791179C9A78,查询AWD库存列表,/docs/Warehouse/AwdWarehouseDetail.md,查询AWD库存列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-41B3AF612B29,查询仓库库存明细,/docs/Warehouse/InventoryDetails.md,支持查询本地仓/海外仓库存明细，对应系统【仓库】>【库存明细】数据,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-47310BFA3E0D,查询仓位库存明细,/docs/Warehouse/inventoryBinDetails.md,查询仓位库存明细,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-1181D4F827FB,查询批次明细,/docs/Warehouse/GetBatchDetailList.md,查询批次明细,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-BCB9BCE2437F,查询批次流水,/docs/Warehouse/GetBatchStatementList.md,查询批次流水,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-6F8ABDE7B566,查询库存流水（旧）,/docs/Warehouse/WarehouseStatement.md,支持查询本地仓库库存流水，对应系统【仓库】>【库存流水】数据,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-F0CE5B7F589B,查询库存流水（新）,/docs/Warehouse/WarehouseStatementNew.md,查询库存流水（新）,是,P0,规则初判；全量接入前由业务负责人确认。
