interface_key,platform,business_domain,module,api_name,api_path,method,protocol,source_doc_path,normalized_interface_source,request_params_source,response_fields_source,verification_status,contract_status,do_not_use_status,deleted_status,priority,target_system_module,data_role,risk_code,notes
LX-7152C6591169,Other non-Walmart,Ads,多平台 / 广告 / TikTok广告,查询TikTok-GMV MAX-广告商品,/basicOpen/multiplatform/ads/queryGmvItemGroupReportList,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-7152C6591169,NONE,NONE,no verification row,DELETED,yes,yes,P0,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-5238E2EC1CE5,Other non-Walmart,Ads,多平台 / 广告 / TikTok广告,查询TikTok-GMV MAX-店铺列表,/basicOpen/multiplatform/ads/queryGmvStoreList,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-5238E2EC1CE5,NONE,NONE,no verification row,DELETED,yes,yes,P0,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-2DA803B0B95B,Other non-Walmart,Ads,多平台 / 广告 / Lazada广告,Lazada广告-关键词报告,/basicOpen/lazadaAd/keyword/report/list,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-2DA803B0B95B,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-A429D13382E7,Other non-Walmart,Ads,多平台 / 广告 / Lazada广告,Lazada广告-受众报告,/basicOpen/lazadaAd/audience/report/list,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-A429D13382E7,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-B6E76EA85894,Other non-Walmart,Ads,多平台 / 广告 / Lazada广告,Lazada广告-广告商品报告,/basicOpen/lazadaAd/item/report/list,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-B6E76EA85894,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-69354216416E,Other non-Walmart,Ads,多平台 / 广告 / Lazada广告,Lazada广告-广告活动报告,/basicOpen/lazadaAd/campaign/report/list,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-69354216416E,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-CE9EC5C49C4C,Other non-Walmart,Ads,多平台 / 广告 / Lazada广告,Lazada广告-店铺报告,/basicOpen/lazadaAd/store/report/list,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-CE9EC5C49C4C,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-36563DAFE486,Other non-Walmart,Ads,多平台 / 广告 / Lazada广告,Lazada广告-获取广告活动信息,/basicOpen/lazadaAd/campaign/info,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-36563DAFE486,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-2C76574F71C3,Unclear/deleted,Ads,广告 / 报告,SB关键词-广告位报告,/pb/openapi/newad/listHsaKeywordPlacementReport,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-2C76574F71C3,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-D5802011AD7B,Amazon,Ads,广告 / 报告,SB分摊,/pb/openapi/newad/sbDivideAsinReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-D5802011AD7B,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-0CA18307F7A5,Unclear/deleted,Ads,广告 / 报告,SB广告位小时数据,/pb/openapi/newad/sbAdPlacementHourData,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-0CA18307F7A5,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-B1DDA380B49A,Unclear/deleted,Ads,广告 / 基础数据,SB广告创意,/pb/openapi/newad/hsaProductAds,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-B1DDA380B49A,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-CA835F6E81F2,Unclear/deleted,Ads,广告 / 报告,SB广告创意报告,/pb/openapi/newad/listHsaProductAdReport,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-CA835F6E81F2,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-081CA1E01E59,Amazon,Ads,广告 / 报告,SB广告归因于广告的购买报告,/pb/openapi/newad/hsaPurchasedAsinReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-081CA1E01E59,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-AE3D4AE5923A,Unclear/deleted,Ads,广告 / 基础数据,SB广告活动,/pb/openapi/newad/hsaCampaigns,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-AE3D4AE5923A,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-FE294868EC86,Unclear/deleted,Ads,广告 / 报告,SB广告活动-广告位报告,/pb/openapi/newad/hsaCampaignPlacementReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-FE294868EC86,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-1E023FC3D19A,Unclear/deleted,Ads,广告 / 报告,SB广告活动小时数据,/pb/openapi/newad/sbCampaignHourData,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-1E023FC3D19A,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-C950D8D237D2,Unclear/deleted,Ads,广告 / 报告,SB广告活动报表,/pb/openapi/newad/hsaCampaignReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-C950D8D237D2,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-5D8D390AB316,Unclear/deleted,Ads,广告 / 基础数据,SB广告的投放,/pb/openapi/newad/sbTargeting,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-5D8D390AB316,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-A95DBBBEAB65,Unclear/deleted,Ads,广告 / 报告,SB广告的投放报告,/pb/openapi/newad/listHsaTargetingReport,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-A95DBBBEAB65,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-E5CEAED0EF1C,Unclear/deleted,Ads,广告 / 基础数据,SB广告组,/pb/openapi/newad/hsaAdGroups,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-E5CEAED0EF1C,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-C9638FBFB409,Unclear/deleted,Ads,广告 / 报告,SB广告组小时数据,/pb/openapi/newad/sbAdGroupHourData,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-C9638FBFB409,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-F12CABEAD851,Unclear/deleted,Ads,广告 / 报告,SB广告组报表,/pb/openapi/newad/hsaAdGroupReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-F12CABEAD851,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-BC26A7360C61,Unclear/deleted,Ads,广告 / 报告,SB用户搜索词报表,/pb/openapi/newad/hsaQueryWordReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-BC26A7360C61,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-50D26DEA4A44,Unclear/deleted,Ads,广告 / 报告,SD匹配的目标报表,/pb/openapi/newad/sdMatchTargetReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-50D26DEA4A44,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-C1DB5C9E8689,Unclear/deleted,Ads,广告 / 基础数据,SD广告商品,/pb/openapi/newad/sdProductAds,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-C1DB5C9E8689,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-3666EC6CF367,Unclear/deleted,Ads,广告 / 报告,SD广告小时数据,/pb/openapi/newad/sdAdvertiseHourData,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-3666EC6CF367,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-8886AA112D0B,Unclear/deleted,Ads,广告 / 基础数据,SD广告活动,/pb/openapi/newad/sdCampaigns,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-8886AA112D0B,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-683AC66EF916,Unclear/deleted,Ads,广告 / 报告,SD广告活动小时数据,/pb/openapi/newad/sdCampaignHourData,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-683AC66EF916,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-E0BADE8A2D2E,Unclear/deleted,Ads,广告 / 报告,SD广告活动报表,/pb/openapi/newad/sdCampaignReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-E0BADE8A2D2E,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-7AFEB8F0F72E,Unclear/deleted,Ads,广告 / 基础数据,SD广告组,/pb/openapi/newad/sdAdGroups,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-7AFEB8F0F72E,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-089548657F54,Unclear/deleted,Ads,广告 / 报告,SD广告组小时数据,/pb/openapi/newad/sdAdGroupHourData,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-089548657F54,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-EBCD04C65F4E,Unclear/deleted,Ads,广告 / 报告,SD广告组报表,/pb/openapi/newad/sdAdGroupReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-EBCD04C65F4E,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-8BB06733247F,Unclear/deleted,Ads,广告 / 报告,SP关键词报表,/pb/openapi/newad/spKeywordReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-8BB06733247F,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-A1D292BDA8E7,Unclear/deleted,Ads,广告 / 报告,SP广告位小时数据,/pb/openapi/newad/spAdPlacementHourData,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-A1D292BDA8E7,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-105B76D1B35F,Unclear/deleted,Ads,广告 / 报告,SP广告位报告,/pb/openapi/newad/campaignPlacementReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-105B76D1B35F,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-48768797B0AD,Amazon,Ads,广告 / 广告管理,SP广告否定投放（ASIN）,/basicOpen/adReport/spTarget/addNegativeTargets,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-48768797B0AD,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-D0C19BD07910,Amazon,Ads,广告 / 广告管理,SP广告否定词归档,/basicOpen/adReport/spTarget/archiveNegatives,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-D0C19BD07910,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-D829D61656DF,Unclear/deleted,Ads,广告 / 基础数据,SP广告商品,/pb/openapi/newad/spProductAds,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-D829D61656DF,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-5F9FB329CC07,Unclear/deleted,Ads,广告 / 报告,SP广告小时数据,/pb/openapi/newad/spAdvertiseHourData,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-5F9FB329CC07,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-AC04F2FEE378,Amazon,Ads,广告 / 基础数据,SP广告活动,/pb/openapi/newad/spCampaigns,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-AC04F2FEE378,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-B85589C6BB4D,Unclear/deleted,Ads,广告 / 报告,SP广告活动小时数据,/pb/openapi/newad/spCampaignHourData,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-B85589C6BB4D,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-3E6843A8C9D5,Unclear/deleted,Ads,广告 / 报告,SP广告活动报表,/pb/openapi/newad/spCampaignReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-3E6843A8C9D5,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-406619228BA7,Unclear/deleted,Ads,广告 / 基础数据,SP广告组,/pb/openapi/newad/spAdGroups,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-406619228BA7,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-783BFCE74EAA,Unclear/deleted,Ads,广告 / 报告,SP广告组小时数据,/pb/openapi/newad/spAdGroupHourData,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-783BFCE74EAA,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-64E265301BB4,Unclear/deleted,Ads,广告 / 报告,SP广告组报表,/pb/openapi/newad/spAdGroupReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-64E265301BB4,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-90910B1B184B,Unclear/deleted,Ads,广告 / 报告,SP用户搜索词报表,/pb/openapi/newad/queryWordReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-90910B1B184B,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-4EDA0C221DF4,Lingxing ERP (platform scope unverified),Ads,工具,关键词列表,/erp/sc/routing/tool/toolKeywordRank/getKeywordList,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/interfaces.csv#LX-4EDA0C221DF4,docs/integrations/lingxing-walmart-openapi/normalized/request_params.csv#LX-4EDA0C221DF4 (5 rows),docs/integrations/lingxing-walmart-openapi/normalized/response_fields.csv#LX-4EDA0C221DF4 (29 rows),doc=文档已收录; tested=未验证; phase1=待评估,READY_FOR_PRP,no,no,P1,广告,candidate_source_read,AUTH_UNKNOWN,no matching repository legacy Markdown snapshot; structurally eligible for PRP only; not provider-verified or call-authorized
LX-65212D74C69C,Other non-Walmart,Ads,多平台 / 广告 / Shopee广告,分页查询广告活动报告列表,/basicOpen/multiplatform/ads/shopee/campaign/report/list,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-65212D74C69C,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-7B74822BC7D8,Amazon,Ads,广告 / 分析,广告分析-关键词分析,/basicOpen/adReport/analyze/keyword,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-7B74822BC7D8,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-32B0211085C2,Amazon,Ads,广告 / 分析,广告分析-搜索词分析,/basicOpen/adReport/analyze/searchTerm,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-32B0211085C2,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-D4CCE5E32FEF,Unclear/deleted,Ads,广告 / 基础数据,广告组合,/pb/openapi/newad/portfolios,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-D4CCE5E32FEF,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-E57F75843A1E,Unclear/deleted,Ads,广告 / 报告,查询DSP广告主列表,/newad/dspAdvertiserList,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-E57F75843A1E,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-C7CF27891143,Other non-Walmart,Ads,多平台 / 广告 / TikTok广告,查询TikTok-GMV MAX-广告帐号,/basicOpen/multiplatform/ads/queryGmvAdvertiserReportList,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-C7CF27891143,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-D9AA1ED2CEE4,Amazon,Ads,多平台 / 广告 / TikTok广告,查询TikTok-GMV MAX-推广系列,/basicOpen/multiplatform/ads/queryGmvCampaignReportList,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-D9AA1ED2CEE4,NONE,NONE,no verification row,DELETED,yes,yes,P1,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
