interface_id,verification_status,level_1_module,level_2_module,level_3_module,interface_name,http_method,api_path,purpose,token_bucket_capacity,is_read,is_write,has_side_effect,pagination_method,max_page_size_or_length,returns_total,supports_incremental_sync,incremental_time_fields,max_query_range,recommended_sync_strategy,request_param_count,request_fields,response_field_count,response_top_fields,directory_chain,system_modules,document_path,remarks,source_package,source_file,page_interface_included
LX-5AFC6979F657,OFFICIAL_VERIFIED,产品,,,查询多属性产品列表,POST,/erp/sc/routing/storage/spu/spuList,查询多属性产品列表,1,是,否,否,offset/length,200,是,否,,,全量后分页,2,"length, offset",21,"code, data, error_details, message, request_id, response_time, total",产品 / 查询多属性产品列表,产品,/docs/Product/spuList.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-30AF347E45FE,OFFICIAL_VERIFIED,产品,,,查询多属性产品详情,POST,/erp/sc/routing/storage/spu/info,查询多属性产品详情,1,是,否,否,无,,是,否,,,全量 / 人工确认,2,"ps_id, spu",93,"code, data, error_details, message, request_id, response_time, total",产品 / 查询多属性产品详情,产品,/docs/Product/spuInfo.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-DA189364D1B7,OFFICIAL_VERIFIED,产品,,,查询捆绑产品关系列表,POST,/erp/sc/routing/data/local_inventory/bundledProductList,查询捆绑产品关系列表,1,是,否,否,offset/length,1000,否,否,,,全量后分页,2,"length, offset",16,"code, data, error_details, message, request_id, response_time",产品 / 查询捆绑产品关系列表,产品,/docs/Product/bundledProductList.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-6F96FE519F29,OFFICIAL_VERIFIED,产品,,,查询操作日志,POST,/basicOpen/product/getPagingLogLists,查询操作日志,1,是,否,否,page/limit,,是,是,"endTime, startTime",,按店铺循环 + 按日期分段增量,5,"businessId, endTime, page, size, startTime",12,"code, data, error_details, message, request_id, response_time, total",产品 / 查询操作日志,产品,/docs/Product/GetPagingLogLists.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-3F1F087FF8A1,OFFICIAL_VERIFIED,产品,,,查询本地产品列表,POST,/erp/sc/routing/data/local_inventory/productList,支持查询产品列表，对应系统【产品】>【产品管理】数据,1,是,否,否,offset/length,1000,是,是,"update_time_start, update_time_end, create_time_start, create_time_end",,按日期分段增量,8,"create_time_end, create_time_start, length, offset, sku_identifier_list, sku_list, update_time_end, update_time_start",67,"code, data, error_details, message, request_id, response_time, total",产品 / 查询本地产品列表,产品,/docs/Product/ProductLists.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-DCB0C142100B,OFFICIAL_VERIFIED,产品,,,查询本地产品详情,POST,/erp/sc/routing/data/local_inventory/productInfo,支持查询本地产品详细信息，对应系统【产品】>【产品管理】数据,1,是,否,否,无,,否,否,,,全量 / 人工确认,3,"id, sku, sku_identifier",132,"code, data, error_details, message, request_id, response_time",产品 / 查询本地产品详情,产品,/docs/Product/ProductDetails.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-2046A9CB4520,OFFICIAL_VERIFIED,产品,,,标记产品标签,POST,/label/operation/v1/label/product/mark,标记产品标签,10,否,是,是,无,,否,否,,,全量 / 人工确认,4,"detail_list, label_list, sku, type",5,"code, data, message, request_id, response_time",产品 / 标记产品标签,产品,/docs/Product/SetProductTag.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-A8BA6E5445AA,OFFICIAL_VERIFIED,产品,,,添加 / 编辑产品分类,POST,/erp/sc/routing/storage/category/set,支持添加/编辑本地产品分类,1,否,是,是,无,,否,否,,,全量 / 人工确认,5,"data, category_code, id, parent_cid, title",8,"code, data, error_details, message, request_id, response_time",产品 / 添加/编辑产品分类,产品,/docs/Product/SetCategory.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-3B1AB09F56B1,OFFICIAL_VERIFIED,产品,,,添加 / 编辑产品属性,POST,/erp/sc/routing/storage/attribute/set,>1、接口对属性数据为覆盖式操作，入参属性值会全量覆盖系统里已存在属性内容,1,否,是,是,无,,否,否,,,全量 / 人工确认,5,"attr_name, attr_values, attr_value, pai_id, pa_id",8,"code, data, error_details, message, request_id, response_time",产品 / 添加/编辑产品属性,产品,/docs/Product/attributeSet.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-1BDE9AFED615,OFFICIAL_VERIFIED,产品,,,添加 / 编辑捆绑产品,POST,/erp/sc/routing/storage/product/setBundled,添加 / 编辑捆绑产品,1,否,是,是,无,,否,否,,,全量 / 人工确认,22,"brand, brand_id, category, category_id, description, group_list, cost_ratio, quantity, sku, is_append_product_duty, model, picture_list, is_primary, pic_url, product_creator_uid, product_developer, product_developer_uid, product_duty_uids, product_name, status, unit",7,"code, data, error_details, message, request_id, response_time",产品 / 添加/编辑捆绑产品,产品,/docs/Product/SetBundled.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-E5135AAB2CB9,OFFICIAL_VERIFIED,产品,,,添加 / 编辑辅料,POST,/erp/sc/routing/storage/product/setAux,添加 / 编辑辅料,1,否,是,是,其他,,否,否,,,全量后分页,20,"cg_price, cg_product_height, cg_product_length, cg_product_net_weight, cg_product_width, product_name, remark, sku, supplier_quote, erp_supplier_id, is_primary, quotes, currency, is_tax, step_prices, moq, price_with_tax, tax_rate, supplier_id, supplier_product_url",7,"code, data, error_details, message, request_id, response_time",产品 / 添加/编辑辅料,产品,/docs/Product/setAux.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-E85460D3A0AD,OFFICIAL_VERIFIED,产品,,,添加/编辑产品品牌,POST,/erp/sc/storage/brand/set,支持添加/编辑本地产品品牌信息,10,否,是,是,无,,否,否,,,全量 / 人工确认,4,"data, brand_code, id, title",9,"code, data, error_details, message, request_id, response_time",产品 / 添加/编辑产品品牌,产品,/docs/Product/SetBrand.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-DC8F85A264F4,OFFICIAL_VERIFIED,产品,,,添加/编辑多属性产品,POST,/erp/sc/routing/storage/spu/set,添加/编辑多属性产品,5,否,是,是,其他,,是,否,,,全量后分页,76,"attribute_skc_list, pa_id, skc, aux_relation_list, aux_qty, aux_sku, sku_qty, bid, cid, create_uid, description, developer_uid, logistics, base, bg_export_hs_code, special_attr, clearance, allocation_remark, customs_clearance_brand_type, customs_clearance_internal_code, customs_clearance_material, customs_clearance_pic_url, customs_clearance_preferential, customs_clearance_product_pattern, customs_clearance_usage, declaration, customs_declaration_exempt, customs_declaration_inlands_source, customs_declaration_origin_produce, customs_declaration_spec, customs_declaration_unit, customs_export_name, customs_import_name, customs_import_price, customs_import_price_currency, fee, 国家简码_bg_import_hs_code, 国家简码_bg_tax_rate, 国家简码_cg_transport_costs, 国家简码_clearance_price, ...(+35)",11,"code, data, error_details, message, request_id, response_time, total",产品 / 添加/编辑多属性产品,产品,/docs/Product/spuSet.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-F00018116434,OFFICIAL_VERIFIED,产品,,,添加/编辑本地产品,POST,/erp/sc/routing/storage/product/set,支持添加/编辑系统本地产品信息,10,否,是,是,其他,,否,否,,,全量后分页,126,"api_spu, api_spu_attribute, pa_id, pai_id, aux_relation_list, aux_qty, aux_sku, sku_qty, bg_customs_export_name, bg_customs_import_name, bg_customs_import_price, bg_export_hs_code, brand, brand_id, category, category_id, cg_box_height, cg_box_length, cg_box_pcs, cg_box_weight, cg_box_width, cg_delivery, cg_opt_uid, cg_opt_username, cg_package_height, cg_package_length, cg_package_width, cg_price, cg_product_gross_weight, cg_product_height, cg_product_length, cg_product_material, cg_product_net_weight, cg_product_width, clearance, allocation_remark, customs_clearance_brand_type, customs_clearance_en_material, customs_clearance_en_usage, customs_clearance_internal_code, ...(+74)",9,"code, data, error_details, message, request_id, response_time",产品 / 添加/编辑本地产品,产品,/docs/Product/SetProduct.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-44D4A6C312C6,OFFICIAL_VERIFIED,产品,,,获取UPC编码列表,POST,/listing/publish/api/upc/upcList,获取UPC编码列表,10,是,否,否,offset/length,,是,否,,,全量后分页,2,"length, offset",16,"code, data, msg, request_id",产品 / 查询UPC编码列表,产品,/docs/Product/UpcList.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-A78F75179F06,OFFICIAL_VERIFIED,仓库,仓库设置,,启用、禁用仓位,POST,/erp/sc/routing/storage/wareHouseBin/switchStatus,启用、禁用仓位,1,否,否,否,无,,否,否,,,全量 / 人工确认,3,"status, whbCode, wid",10,"code, data, error_details, message, request_id, response_time",仓库 / 仓库设置 / 启用、禁用仓位,仓库,/docs/Warehouse/switchStatus.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-CF87F80AD608,OFFICIAL_VERIFIED,仓库,仓库设置,,查询产品仓位列表,POST,/basicOpen/warehouseConfig/warehouseBin/getEntryRecommendBinList,查询产品仓位列表,1,是,否,否,无,,是,否,,,全量 / 人工确认,6,"list, fnsku, productId, sid, wid, withHistory",28,"code, data, errorDetails, message, requestId, total",仓库 / 仓库设置 / 查询产品仓位列表,"仓库, 产品",/docs/Warehouse/getEntryRecommendBinList.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-41E509578C0D,OFFICIAL_VERIFIED,仓库,仓库设置,,查询仓库列表,POST,/erp/sc/data/local_inventory/warehouse,支持查询本地仓库列表信息，对应系统【设置】>【仓库设置】仓库列表,1,是,否,否,offset/length,,是,否,,,全量后分页,5,"is_delete, length, offset, sub_type, type",18,"code, data, error_details, message, request_id, response_time, total",仓库 / 仓库设置 / 查询仓库列表,仓库,/docs/Warehouse/WarehouseLists.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-EC6F4C39346F,OFFICIAL_VERIFIED,仓库,仓库设置,,查询本地仓位列表,POST,/erp/sc/routing/data/local_inventory/warehouseBin,查询本地仓位列表,1,是,否,否,其他,,是,否,,,全量后分页,6,"id, limit, offset, status, type, wid",16,"code, data, error_details, message, request_id, response_time, total",仓库 / 仓库设置 / 查询本地仓位列表,仓库,/docs/Warehouse/warehouseBin.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-208BCCE30B24,OFFICIAL_VERIFIED,仓库,仓库设置,,海外仓sku取消配对,POST,/basicOpen/overseaWarehouseSetting/productUnMatch,支持取消海外仓商品sku配对,1,否,是,是,无,,否,否,,,全量 / 人工确认,2,"wpId, wpmId",5,"code, error_details, message, request_id, response_time",仓库 / 仓库设置 / 海外sku取消配对,"仓库, 产品",/docs/Warehouse/OverseaWarehouseProductUnMatch.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-EECD62D39B8C,OFFICIAL_VERIFIED,仓库,仓库设置,,海外仓sku配对,POST,/basicOpen/overseaWarehouseSetting/productMatch,支持海外仓商品进行sku配对,1,否,是,是,无,,否,否,,,全量 / 人工确认,8,"fnsku, matchAll, matchNum, productId, sellerId, twId, twpId, wpId",5,"code, error_details, message, request_id, response_time",仓库 / 仓库设置 / 海外仓sku配对,"仓库, 产品",/docs/Warehouse/OverseaWarehouseProductMatch.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-0C9F53813C1C,OFFICIAL_VERIFIED,仓库,仓库设置,,添加/修改仓库,POST,/erp/sc/storage/wareHouse/edit,创建客户自定义仓库id与领星系统本地仓仓库id映射关系，添加/修改本地仓库基础信息,10,否,是,是,无,,否,否,,,全量 / 人工确认,8,"address, contact, name, remark, sys_wid, telephone, type, wid",7,"code, data, data->wid, error_details, message, request_id, response_time",仓库 / 仓库设置 / 添加/修改仓库,仓库,/docs/Warehouse/EditWarehouse.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-4C457588B444,OFFICIAL_VERIFIED,仓库,仓库设置,,添加仓位,POST,/erp/sc/routing/storage/wareHouseBin/create,添加仓位,1,否,是,是,无,,否,否,,,全量 / 人工确认,3,"code, type, wid",6,"code, data, error_details, message, request_id, response_time",仓库 / 仓库设置 / 添加仓位,仓库,/docs/Warehouse/binCreate.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-F395006EFE91,OFFICIAL_VERIFIED,仓库,出入库,,入库单确认入库,POST,/basicOpen/inboundOrder/inbound/setInbound,入库单确认入库,1,否,是,是,无,,是,否,,,全量 / 人工确认,1,orderSn,12,"code, data, error_details, message, request_id, response_time",仓库 / 出入库 / 入库单确认入库,"仓库, 销售",/docs/Warehouse/InboundOrderConfirm.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-02B0DCBC4860,OFFICIAL_VERIFIED,仓库,出入库,,出库单确认出库,POST,/basicOpen/outboundOrder/outbound/setOutbound,出库单确认出库,1,否,是,是,无,,是,否,,,全量 / 人工确认,1,orderSn,12,"code, data, error_details, message, request_id, response_time",仓库 / 出入库 / 出库单确认出库,"仓库, 销售",/docs/Warehouse/OutboundOrderConfirm.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-5C1C08254572,OFFICIAL_VERIFIED,仓库,出入库,,创建加工单 / 拆分单,POST,/erp/sc/routing/inventoryReceipt/StorageProcess/addStorageProcessOrder,创建加工单 / 拆分单,1,否,是,是,无,,是,否,,,全量 / 人工确认,18,"is_no_lock, product_list, combo_fnsku, combo_sid, combo_sku, combo_whb_code, process_fee, quantity_num, single_product_list, fnsku, price_scale, remark, sid, sku, whb_code, type, wid",8,"code, data, error_details, message, request_id, response_time, total",仓库 / 出入库 / 创建加工单 / 拆分单,"仓库, 销售",/docs/Warehouse/addStorageProcessOrder.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-8F4BA5E003C6,OFFICIAL_VERIFIED,仓库,出入库,,创建已完成的SKU调整单,POST,/erp/sc/routing/inventoryReceipt/StorageAdjustment/addSkuAdjustmentOrder,创建已完成的SKU调整单,1,否,是,是,无,,否,否,,,全量 / 人工确认,18,"bin_type, product_list, adjustment_valid_num, fnsku, in_available_bin, num, whb_code, out_available_bin, product_id, product_remark, seller_id, to_fnsku, to_product_id, to_seller_id, remark, wid",7,"code, data, error_details, message, request_id, response_time",仓库 / 出入库 / 创建已完成的SKU调整单,"仓库, 产品, 销售",/docs/Warehouse/addSkuAdjustmentOrder.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-1FA55392B264,OFFICIAL_VERIFIED,仓库,出入库,,创建已完成的成本补录单,POST,/erp/sc/routing/inventoryReceipt/CostChangeOrder/finishCostChangeOrder,创建已完成的成本补录单,1,否,是,是,无,,否,否,,,全量 / 人工确认,10,"list, fnsku, product_id, relation_order_out, seller_id，对应[查询亚马逊店铺列表](docs/BasicData/SellerLists)接口对应字段【sid】, unit_cost_price, unit_fee_price, remark, type, wid",7,"code, data, error_details, message, request_id, response_time",仓库 / 出入库 / 创建已完成的成本补录单,"仓库, 销售",/docs/Warehouse/FinishCostChangeOrder.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-A054BADFE10F,OFFICIAL_VERIFIED,仓库,出入库,,创建已完成的换标调整单,POST,/erp/sc/routing/inventoryReceipt/StorageAdjustment/addRebrandAdjustmentOrder,创建已完成的换标调整单,1,否,是,是,无,,否,否,,,全量 / 人工确认,17,"bin_type, product_list, adjustment_valid_num, fnsku, in_available_bin, num, whb_code, out_available_bin, product_id, product_remark, seller_id, to_fnsku, to_seller_id, remark, wid",7,"code, data, error_details, message, request_id, response_time",仓库 / 出入库 / 创建已完成的换标调整单,"仓库, 销售",/docs/Warehouse/addRebrandAdjustmentOrder.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-E6238EC4E51A,OFFICIAL_VERIFIED,仓库,出入库,,创建已完成的数量调整单,POST,/erp/sc/routing/inventoryReceipt/StorageAdjustment/addAdjustmentOrder,支持推送已完成的数量调整单至领星ERP，并调整对应数量,1,否,是,是,无,,否,否,,,全量 / 人工确认,13,"product_list, adjustment_available_bin, adjustment_bad_num, adjustment_bad_sgn, adjustment_inferior_bin, adjustment_valid_num, adjustment_valid_sgn, fnsku, product_id, seller_id, sku, remark, wid",7,"code, data, error_details, message, request_id, response_time",仓库 / 出入库 / 创建已完成的数量调整单,"仓库, 销售",/docs/Warehouse/addAdjustmentOrder.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-2D7501EFFF14,OFFICIAL_VERIFIED,仓库,出入库,,创建已完成的盘点单,POST,/erp/sc/routing/inventoryReceipt/InventoryCheck/addOrder,支持创建已完成的盘点单，盘点类型默认为“SKU+仓位”盘点,1,否,是,是,无,,是,否,,,全量 / 人工确认,11,"check_uid, is_display_check, product_list, actual_inventory, fnsku, product_id, remark, seller_id, whb_code, wid",8,"code, data, error_details, message, request_id, response_time, total",仓库 / 出入库 / 创建已完成的盘点单,"仓库, 产品, 销售",/docs/Warehouse/checkAddOrder.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-41BB2D2886D2,OFFICIAL_VERIFIED,仓库,出入库,,创建待收货/已完成的调拨单,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/addAllocationOrder,支持创建“待收货/已完成”状态调拨单，请求成功后，对应调拨单在列表“待收货/已完成”状态,1,否,是,是,其他,,是,是,predict_time,,按店铺循环 + 按日期分段增量,36,"fee_part_type, freight_fee, other_fee, num, out_bin_type, predict_time, product_list, bad_num, cg_package_height, cg_package_length, cg_package_width, cg_product_gross_weight, fnsku, freight_fee_unit, good_num, other_fee_unit, out_available_bin, whb_code, out_inferior_bin, product_remark, seller_id, sku, to_available_bin, to_inferior_bin, remark, sys_to_wid, sys_wid, to_wid, type, wid",8,"code, data, error_details, message, request_id, response_time, total",仓库 / 出入库 / 创建待收货/已完成的调拨单,"仓库, 销售",/docs/Warehouse/AddAllocationOrder.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-5EBF326CAE51,OFFICIAL_VERIFIED,仓库,出入库,,创建待调拨的调拨单,POST,/erp/sc/routing/inventoryReceipt/StorageAllocation/submitAllocationOrder,创建待调拨的调拨单,1,否,是,是,其他,,否,是,predict_time,,按店铺循环 + 按日期分段增量,34,"fee_part_type, freight_fee, other_fee, out_bin_type, predict_time, product_list, bad_num, cg_package_height, cg_package_length, cg_package_width, cg_product_gross_weight, fnsku, freight_fee_unit, good_num, other_fee_unit, out_available_bin, num, whb_code, out_inferior_bin, product_id, product_remark, seller_id, to_available_bin, to_inferior_bin, remark, sys_to_wid, sys_wid, type",7,"code, data, error_details, message, request_id, response_time",仓库 / 出入库 / 创建待调拨的调拨单,"仓库, 销售",/docs/Warehouse/submitAllocationOrder.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-ECC5B6E072BC,OFFICIAL_VERIFIED,仓库,出入库,,删除出库单,DELETE,/basicOpen/outboundOrder/outbound/delete,删除出库单,1,否,是,是,无,,是,否,,,全量 / 人工确认,1,orderSn,12,"code, data, error_details, message, request_id, response_time",仓库 / 出入库 / 删除出库单,"仓库, 销售",/docs/Warehouse/outboundOrderDelete.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-50E3A9271BE9,OFFICIAL_VERIFIED,仓库,出入库,,删除调拨单,DELETE,/basicOpen/storageAllocationList/delete,支持操作删除状态为待审批，待配货，待调拨的调拨单,1,否,是,是,无,,否,否,,,全量 / 人工确认,1,orderSn,6,"code, data, error_details, message, request_id, response_time",仓库 / 出入库 / 删除调拨单,仓库,/docs/Warehouse/DeleteStorageAllocationList.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-29AE97DABE08,OFFICIAL_VERIFIED,仓库,出入库,,加工单列表,POST,/erp/sc/routing/inventoryReceipt/StorageProcess/getOrderLists,加工单列表,1,是,否,否,offset/length,,是,是,"search_field_time, start_date, end_date",,按日期分段增量,9,"end_date, length, offset, process_sn, search_field_time, start_date, status, type, wid",45,"code, data, error_details, message, request_id, response_time, total",仓库 / 出入库 / 加工单列表,"仓库, 销售",/docs/Warehouse/getProcessOrderLists.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-032E4A4848FB,OFFICIAL_VERIFIED,仓库,出入库,,撤销入库单,POST,/basicOpen/inboundOrder/inbound/setOrderRevoke,撤销入库单,1,否,否,否,无,,否,否,,,全量 / 人工确认,2,"delete_receipt_order, order_sn",6,"code, data, error_details, message, request_id, response_time",仓库 / 出入库 / 撤销入库单,"仓库, 销售",/docs/Warehouse/SetInboundOrderRevoke.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-C0FCAFE34051,OFFICIAL_VERIFIED,仓库,出入库,,撤销出库单,POST,/basicOpen/outboundOrder/outbound/setOrderRevoke,撤销出库单,1,否,否,否,无,,否,否,,,全量 / 人工确认,1,order_sn,6,"code, data, error_details, message, request_id, response_time",仓库 / 出入库 / 撤销出库单,"仓库, 销售",/docs/Warehouse/SetOutboundOrderRevoke.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-FC8B93582D77,OFFICIAL_VERIFIED,仓库,出入库,,撤销调拨单,POST,/basicOpen/storageAllocationList/cancel,撤销调拨单,1,否,否,否,无,,否,否,,,全量 / 人工确认,1,order_sn,6,"code, data, error_details, message, request_id, response_time",仓库 / 出入库 / 撤销调拨单,仓库,/docs/Warehouse/CancelStorageAllocationList.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-A78D6BB9DC24,OFFICIAL_VERIFIED,仓库,出入库,,查询入库单列表,POST,/erp/sc/routing/storage/inbound/getOrders,查询入库单列表,1,是,否,否,offset/length,200,是,是,"search_field_time, start_date, end_date",,按日期分段增量,10,"end_date, inbound_idempotent_code, length, offset, order_sn, search_field_time, start_date, status, type, wid",71,"code, data, error_details, message, request_id, response_time, total",仓库 / 出入库 / 查询入库单列表,"仓库, 销售",/docs/Warehouse/inboundgetOrders.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
